Address,City,State,Postal,County,Date,Time,Case,URL,Source,Atty,Atty_Contact
1940 E 13th St,Douglas,AZ,85607, Cochise County,2025-07-30,11:00 AM,TS 0000001039...,https://www.auction.com/details/1940-e-13th-st-douglas-az-1734010,Auction.com,Barrett Daffin Frappier Treder and Weiss,(866) 795-1852
2048 Santa Rita Drive,Sierra Vista,AZ,85635, Cochise County,2025-07-30,11:00 AM,AZ06000056-25...,https://www.auction.com/details/2048-santa-rita-dr-sierra-vista-az-1734822,Auction.com,TRUSTEE CORPS,(949) 252-8300
860 W Airport Rd,Willcox,AZ,85643, Cochise County,2025-07-30,11:00 AM,25-04266-GM-A...,https://www.auction.com/details/860-w-airport-rd-willcox-az-1739766,Auction.com,"Tiffany & Bosco, PA",(602) 255-6000
4401 Calle Cibola,Sierra Vista,AZ,85635, Cochise County,2025-07-30,11:00 AM,25-005236,https://www.auction.com/details/4401-calle-cibola-sierra-vista-az-1739930,Auction.com,America West Lender Services,(844) 693-4761
5840 E Dakota Rd,Hereford,AZ,85615, Cochise County,2025-07-30,11:00 AM,AZ06000066-25,https://www.auction.com/details/5840-e-dakota-rd-hereford-az-1743232,Auction.com,TRUSTEE CORPS,(949) 252-8300
932 Cactus Wren Lane,Sierra Vista,AZ,85635, Cochise County,2025-07-30,11:00 AM,25-40127-WF-A...,https://www.auction.com/details/932-cactus-wren-ln-sierra-vista-az-1774627,Auction.com,"Tiffany & Bosco, PA",(602) 255-6000
607 E Santa Fe Cir,Benson,AZ,85602, Cochise County,2025-07-30,11:00 AM,AZ14000002-25,https://www.auction.com/details/607-e-santa-fe-cir-benson-az-1779679,Auction.com,TRUSTEE CORPS,(949) 252-8300
1916 S Jackson St,Butte,MT,59701-3016, Silver Bow County,2025-07-30,11:00 AM,MT21878,https://www.auction.com/details/1916-s-jackson-st-butte-mt-1710931,Auction.com,"Halliday, Watkins and Mann, P.C.",(801) 355-2886
5125 Goldfinch Ct,Granite Falls,NC,28630, Caldwell County,2025-07-30,11:00 AM,25-271271,https://www.auction.com/details/5125-goldfinch-ct-granite-falls-nc-1785926,Auction.com,"RAS Crane, LLC",(470) 321-7112
9542 East Irene Street,Tucson,AZ,85730, Pima County,2025-07-30,10:00 AM,2025-00139-AZ,https://www.auction.com/details/9542-e-irene-st-tucson-az-1732052,Auction.com,Western Progressive,(866) 960-8299
5853 E 19th Street,Tucson,AZ,85711, Pima County,2025-07-30,10:00 AM,25-004236,https://www.auction.com/details/5853-e-19th-st-tucson-az-1733452,Auction.com,America West Lender Services,(844) 693-4761
8709 E Almond St,Tucson,AZ,85730, Pima County,2025-07-30,10:00 AM,25-003690,https://www.auction.com/details/8709-e-almond-st-tucson-az-1733800,Auction.com,America West Lender Services,(844) 693-4761
1034 W Camino Hombre Viejo,Sahuarita,AZ,85629, Pima County,2025-07-30,10:00 AM,AZ09000022-25,https://www.auction.com/details/1034-w-camino-hombre-viejo-sahuarita-az-1734131,Auction.com,TRUSTEE CORPS,(949) 252-8300
9780 East Hollow Place,Tucson,AZ,85748, Pima County,2025-07-30,10:00 AM,AZ-24-999116-...,https://www.auction.com/details/9780-e-hollow-pl-tucson-az-1734473,Auction.com,Quality Loan Service Corporation,(866) 645-7711
7511 E Golf Links Rd,Tucson,AZ,85730, Pima County,2025-07-30,10:00 AM,24-67779,https://www.auction.com/details/7511-e-golf-links-rd-tucson-az-1737533,Auction.com,"ZBS Law, LLP",(602) 282-6188
1874 East Calle Grandiosa,Tucson,AZ,85706, Pima County,2025-07-30,10:00 AM,AZ-25-1012827...,https://www.auction.com/details/1874-e-calle-grandiosa-tucson-az-1737759,Auction.com,Quality Loan Service Corporation,(866) 645-7711
2950 N Alvernon Way Unit 11101,Tucson,AZ,85712, Pima County,2025-07-30,10:00 AM,AZ09000029-25,https://www.auction.com/details/2950-n-alvernon-way-tucson-az-1741704,Auction.com,TRUSTEE CORPS,(949) 252-8300
17310 S. Myrick Lane,Sahuarita,AZ,85629, Pima County,2025-07-30,10:00 AM,25-04154-PM-A...,https://www.auction.com/details/17310-s-myrick-ln-sahuarita-az-1743196,Auction.com,"Tiffany & Bosco, PA",(602) 255-6000
2020 W Via Tierra Santa,Tucson,AZ,85746, Pima County,2025-07-30,10:00 AM,25-04206-PM-A...,https://www.auction.com/details/2020-w-via-tierra-santa-tucson-az-1743296,Auction.com,"Tiffany & Bosco, PA",(602) 255-6000
3533 N Palmer Dr,Tucson,AZ,85716, Pima County,2025-07-30,10:00 AM,25-01020-PM-A...,https://www.auction.com/details/3533-n-palmer-dr-tucson-az-1746789,Auction.com,"Tiffany & Bosco, PA",(602) 255-6000
8844 N Twin Peaks Brook Road,Tucson,AZ,85743, Pima County,2025-07-30,10:00 AM,25-04298-JP-A...,https://www.auction.com/details/8844-n-twin-peaks-brook-rd-tucson-az-1747323,Auction.com,"Tiffany & Bosco, PA",(602) 255-6000
4748 E Orchard Grass Dr,Tucson,AZ,85756, Pima County,2025-07-30,10:00 AM,179807,https://www.auction.com/details/4748-e-orchard-grass-dr-tucson-az-1754765,Auction.com,Prime Recon LLC,(888) 725-4142
960 W Turnstone Pl,Tucson,AZ,85737, Pima County,2025-07-30,10:00 AM,24-09355-US-A...,https://www.auction.com/details/960-w-turnstone-pl-tucson-az-1759341,Auction.com,"Tiffany & Bosco, PA",(602) 255-6000
3730 S. Sarnoff Dr,Tucson,AZ,85730, Pima County,2025-07-30,10:00 AM,25-004602,https://www.auction.com/details/3730-s-sarnoff-dr-tucson-az-1763107,Auction.com,America West Lender Services,(844) 693-4761
4313 E Bellevue St,Tucson,AZ,85712, Pima County,2025-07-30,10:00 AM,AZ05000117-24,https://www.auction.com/details/4313-e-bellevue-st-tucson-az-1765170,Auction.com,TRUSTEE CORPS,(949) 252-8300
17321 E Zoo Stage Rd,Vail,AZ,85641, Pima County,2025-07-30,10:00 AM,25-72725,https://www.auction.com/details/17321-e-zoo-stage-rd-vail-az-1766626,Auction.com,"ZBS Law, LLP",(602) 282-6188
1851 W Horn Mesa Pl,Tucson,AZ,85713, Pima County,2025-07-30,10:00 AM,132945-AZ,https://www.auction.com/details/1851-w-horn-mesa-pl-tucson-az-1766885,Auction.com,Aldridge Pite LLP,(858) 750-7777
6141 E Calle Aurora,Tucson,AZ,85711, Pima County,2025-07-30,10:00 AM,178952,https://www.auction.com/details/6141-e-calle-aurora-tucson-az-1775321,Auction.com,"The Mortgage Law Firm, PC.",(619) 465-8200
2921 E Edward Lane,Vail,AZ,85641, Pima County,2025-07-30,10:00 AM,AZ-25-1006604...,https://www.auction.com/details/2921-e-edward-ln-vail-az-1780991,Auction.com,Quality Loan Service Corporation,(866) 645-7711
2548 E Glenn Street,Tucson,AZ,85716, Pima County,2025-07-30,10:00 AM,AZ09000087-24,https://www.auction.com/details/2548-e-glenn-st-tucson-az-1781942,Auction.com,TRUSTEE CORPS,(949) 252-8300
2951 W Nebraska St,Tuscon,AZ,85746, Pima County,2025-07-30,10:00 AM,AZ09000010-25,https://www.auction.com/details/2951-w-nebraska-st-tucson-az-1781969,Auction.com,TRUSTEE CORPS,(949) 252-8300
2023 W Arizona Rose Dr,Oro Valley,AZ,85737, Pima County,2025-07-30,10:00 AM,AZ05000021-25,https://www.auction.com/details/2023-w-arizona-rose-dr-oro-valley-az-1781971,Auction.com,TRUSTEE CORPS,(949) 252-8300
12064 E Becker Drive,Vail,AZ,85641, Pima County,2025-07-30,10:00 AM,24-71535,https://www.auction.com/details/12064-e-becker-dr-vail-az-1785094,Auction.com,"ZBS Law, LLP",(602) 282-6188
3601 Ellis Rd,Rockford,IL,61101, Winnebago County,2025-07-30,10:00 AM,2024-FC-00002...,https://www.auction.com/details/3601-ellis-rd-rockford-il-1742614,Auction.com,"RAS Crane, LLC",(561) 241-6901
2003 Nebraska Rd,Rockford,IL,61108, Winnebago County,2025-07-30,10:00 AM,2024-FC-00001...,https://www.auction.com/details/2003-nebraska-rd-rockford-il-1752229,Auction.com,"RAS Crane, LLC",(561) 241-6901
1962 Cyrus Cove Dr,Hoover,AL,35244, Jefferson County,2025-07-30,1:00 PM,1263-3912A,https://www.auction.com/details/1962-cyrus-cove-dr-hoover-al-1758360,Auction.com,Aldridge Pite LLP,(404) 994-7400
4359 Mount Vernon Road,Springfield,OR,97478, Lane County,2025-07-30,1:00 PM,OR09000036-24,https://www.auction.com/details/4359-mt-vernon-rd-springfield-or-1776498,Auction.com,Trustee Corps,(949) 252-8300
9323 Stephen Richards Memorial Dr,Juneau,AK,99801, Juneau County,2025-07-23,,AK240085,https://www.auction.com/details/9323-stephen-richards-memorial-dr-juneau-ak-1778441,Auction.com,"The Sayer Law Group, P.C.",(319) 234-2530
18 Maple Dr,Frederick,CO,80530, Weld County,2025-07-23,,TS 10277044,https://www.auction.com/details/18-maple-dr-frederick-co-1773880,Auction.com,"Barrett, Frappier and Weisserman",(626) 915-5714
375 County Road 218,Durango,CO,81303, La Plata County,2025-07-23,,,https://www.auction.com/details/375-county-road-218-durango-co-1741395,Auction.com,"Barrett, Frappier and Weisserman",(626) 915-5714
11807 Kepner Dr,Aurora,CO,80012, Arapahoe County,2025-07-23,,,https://www.auction.com/details/11807-e-kepner-dr-aurora-co-1747067,Auction.com,"Barrett, Frappier and Weisserman",(626) 915-5714
5176 Summerville Cir,Castle Rock,CO,80109, Douglas County,2025-07-23,,2025CV30078,https://www.auction.com/details/5176-summerville-cir-castle-rock-co-1759119,Auction.com,"Halliday, Watkins and Mann, P.C.",
2926 Pinnacle Drive,Colorado Springs,CO,80910, El Paso County,2025-07-23,,,https://www.auction.com/details/2926-pinnacle-dr-colorado-springs-co-1759244,Auction.com,"Barrett, Frappier and Weisserman",(626) 915-5714
10078 Beckham St,Peyton,CO,80831, El Paso County,2025-07-23,,,https://www.auction.com/details/10078-beckham-st-peyton-co-1760933,Auction.com,"Halliday, Watkins and Mann, P.C.",
867 Summer Drive,Highlands Ranch,CO,80126, Douglas County,2025-07-23,,,https://www.auction.com/details/867-summer-dr-highlands-ranch-co-1769501,Auction.com,"McCarthy & Holthus, LLP",
9132 Chieftan Drive,Colorado Springs,CO,80925, El Paso County,2025-07-23,,,https://www.auction.com/details/9132-chieftan-dr-colorado-springs-co-1777883,Auction.com,"Halliday, Watkins and Mann, P.C.",
10444 Colby Canyon Dr,Highlands Ranch,CO,80129, Douglas County,2025-07-23,,,https://www.auction.com/details/10444-colby-canyon-dr-highlands-ranch-co-1784058,Auction.com,"Halliday, Watkins and Mann, P.C.",
23080 York Ave,Parker,CO,80138, Douglas County,2025-07-23,,,https://www.auction.com/details/23080-york-ave-parker-co-1785791,Auction.com,Randall S. Miller and Associates,(248) 335-9200
3219 E 99th Way,Thornton,CO,80229, Adams County,2025-07-23,,CO-25-1010636...,https://www.auction.com/details/3219-e-99th-way-thornton-co-1711622,Auction.com,"McCarthy & Holthus, LLP",
17995 E 107th Pl,Commerce City,CO,80022, Adams County,2025-07-23,,24-033069,https://www.auction.com/details/17995-e-107th-pl-commerce-city-co-1712725,Auction.com,"Janeway Law Firm, PC",
1170 Elmira Street,Aurora,CO,80010, Arapahoe County,2025-07-23,,25-034355,https://www.auction.com/details/1170-elmira-st-aurora-co-1712737,Auction.com,"Janeway Law Firm, PC",
9822 Kenton Circle,Commerce City,CO,80022, Adams County,2025-07-23,,TS 10396968,https://www.auction.com/details/9822-kenton-cir-commerce-city-co-1714267,Auction.com,"Barrett, Frappier and Weisserman",(626) 915-5714
33530 Meadow Hill Lane,Elizabeth,CO,80107, Elbert County,2025-07-23,,TS 10413201,https://www.auction.com/details/33530-meadow-hill-ln-elizabeth-co-1716528,Auction.com,"Barrett, Frappier and Weisserman",(626) 915-5714
15513 Highway 144,Fort Morgan,CO,80701, Morgan County,2025-07-23,,23-030410,https://www.auction.com/details/15513-highway-144-fort-morgan-co-1717616,Auction.com,"Janeway Law Firm, PC",
11801 E 17th Avenue,Aurora,CO,80010, Adams County,2025-07-23,,23-031251,https://www.auction.com/details/11801-e-17th-ave-aurora-co-1717617,Auction.com,"Janeway Law Firm, PC",
115 Chatoga Ave,Grover,CO,80729, Weld County,2025-07-23,,23-029543,https://www.auction.com/details/115-chatoga-ave-grover-co-1717623,Auction.com,"Janeway Law Firm, PC",
2261 Coronado Pkwy N Apartment B,Denver,CO,80229, Adams County,2025-07-23,,24-033625,https://www.auction.com/details/2261-coronado-pkwy-n-denver-co-1761041,Auction.com,"Janeway Law Firm, PC",
24740 E Euclid Pl,Aurora,CO,80016, Arapahoe County,2025-07-23,,23-030701,https://www.auction.com/details/24740-e-euclid-pl-aurora-co-1766581,Auction.com,"Halliday, Watkins and Mann, P.C.",
2436 West Avenue,Rifle,CO,81650, Garfield County,2025-07-23,,25-034093,https://www.auction.com/details/2436-west-ave-rifle-co-1766588,Auction.com,"Janeway Law Firm, PC",
629 N Linden Ave,Trinidad,CO,81082, Las Animas County,2025-07-23,,25-034178,https://www.auction.com/details/629-n-linden-ave-trinidad-co-1774620,Auction.com,"Janeway Law Firm, PC",
218 South 2nd Avenue,Brighton,CO,80601, Adams County,2025-07-23,,25-034114,https://www.auction.com/details/218-s-2nd-ave-brighton-co-1777906,Auction.com,"Janeway Law Firm, PC",
955 Coyote Circle,Coal Creek,CO,81221, Fremont County,2025-07-23,,24-032708,https://www.auction.com/details/955-coyote-cir-coal-creek-co-1778555,Auction.com,"Janeway Law Firm, PC",
126 S 4th St,Victor,CO,80860, Teller County,2025-07-23,,24CO00440-1,https://www.auction.com/details/126-s-4th-st-victor-co-1778808,Auction.com,Randall S. Miller and Associates,(248) 335-9200
1815 Iroquois Rd,Pueblo,CO,81001, Pueblo County,2025-07-23,,24CO00106-1,https://www.auction.com/details/1815-iroquois-rd-pueblo-co-1785705,Auction.com,Randall S. Miller and Associates,(248) 335-9200
2469 Devonshire Court,Denver,CO,80229, Adams County,2025-07-23,,CO-24-1004251...,https://www.auction.com/details/2469-devonshire-ct-denver-co-1786630,Auction.com,"McCarthy & Holthus, LLP",
179 Prairie Falcon Pkwy,Brighton,CO,80601, Adams County,2025-07-23,,TS 10402550,https://www.auction.com/details/179-prairie-falcon-pkwy-brighton-co-1713822,Auction.com,"Barrett, Frappier and Weisserman",(626) 915-5714
14507 E Evans Ave,Aurora,CO,80014, Arapahoe County,2025-07-23,,TS 8260978,https://www.auction.com/details/14507-e-evans-ave-aurora-co-1767295,Auction.com,"Barrett, Frappier and Weisserman",(626) 915-5714
908 Applewood Court,Fort Lupton,CO,80621, Weld County,2025-07-23,,24-033335,https://www.auction.com/details/908-applewood-ct-fort-lupton-co-1711663,Auction.com,"Janeway Law Firm, PC",
7925 Trotter Lane,Lone Tree,CO,80124, Douglas County,2025-07-23,,,https://www.auction.com/details/7925-trotter-ln-lone-tree-co-1712979,Auction.com,"McCarthy & Holthus, LLP",
35824 Pleasant Hill Ave,Galeton,CO,80622, Weld County,2025-07-23,,,https://www.auction.com/details/35824-pleasant-hill-ave-galeton-co-1714011,Auction.com,"Halliday, Watkins and Mann, P.C.",
1281 W 71st Pl,Denver,CO,80221, Adams County,2025-07-23,,,https://www.auction.com/details/1281-w-71st-pl-denver-co-1716833,Auction.com,"Halliday, Watkins and Mann, P.C.",
810 42nd St,Evans,CO,80620, Weld County,2025-07-23,,,https://www.auction.com/details/810-42nd-st-evans-co-1717395,Auction.com,"McCarthy & Holthus, LLP",
1130 Beulah Ave,Pueblo,CO,81004, Pueblo County,2025-07-23,,25-034369,https://www.auction.com/details/1130-beulah-ave-pueblo-co-1717515,Auction.com,"Janeway Law Firm, PC",
2981 Meeker St,Grand Junction,CO,81503, Mesa County,2025-07-23,,25-034403,https://www.auction.com/details/2981-meeker-st-grand-junction-co-1717520,Auction.com,"Janeway Law Firm, PC",
3061 Vaughn Street,Aurora,CO,80011, Adams County,2025-07-23,,25-034407,https://www.auction.com/details/3061-vaughn-st-aurora-co-1717521,Auction.com,"Janeway Law Firm, PC",
2295 Dexter Dr,Longmont,CO,80501, Boulder County,2025-07-23,,,https://www.auction.com/details/2295-dexter-dr-longmont-co-1720370,Auction.com,"The Sayer Law Group, P.C.",(319) 234-2530
106 Breanna Ln,Dolores,CO,81323, Montezuma County,2025-07-23,,25-034415,https://www.auction.com/details/106-breanna-ln-dolores-co-1727963,Auction.com,"Janeway Law Firm, PC",
534 Bickley St,Colorado Springs,CO,80911, El Paso County,2025-07-23,,,https://www.auction.com/details/534-bickley-st-colorado-springs-co-1775550,Auction.com,"McCarthy & Holthus, LLP",
16 Posada Dr,Pueblo,CO,81005, Pueblo County,2025-07-23,,,https://www.auction.com/details/16-posada-dr-pueblo-co-1778345,Auction.com,Randall S. Miller and Associates,(248) 335-9200
1416 Clover Creek Drive,Longmont,CO,80503, Boulder County,2025-07-23,,TS 10255859,https://www.auction.com/details/1416-clover-creek-dr-longmont-co-1740965,Auction.com,"Barrett, Frappier and Weisserman",(626) 915-5714
10674 Winding Meadow Dr,Kiowa,CO,80117, Elbert County,2025-07-23,,TS 9503251,https://www.auction.com/details/10674-winding-meadow-dr-kiowa-co-1772309,Auction.com,"Barrett, Frappier and Weisserman",(626) 915-5714
14-808 Nanawale Circle,Pahoa,HI,96778, Hawaii County,2025-07-23,,,https://www.auction.com/details/14-808-nanawale-cir-pahoa-hi-1784186,Auction.com,"The Mortgage Law Firm dba TMLF Hawaii, LLLC",(619) 465-8200
324 23rd Ave,Bellwood,IL,60104, Cook County,2025-07-23,,,https://www.auction.com/details/324-23rd-ave-bellwood-il-1766293,Auction.com,The Wirbicki Law Group LLC,(312) 360-9455
10235 S Oglesby Ave,Chicago,IL,60617, Cook County,2025-07-23,,2024CH03791,https://www.auction.com/details/10235-s-oglesby-ave-chicago-il-1783622,Auction.com,MANLEY DEAS KOCHALSKI LLC,(614) 767-7080
820 S Hamilton St,Sullivan,IL,61951, Moultrie County,2025-07-23,,,https://www.auction.com/details/820-s-hamilton-st-sullivan-il-1785036,Auction.com,"McCalla Raymer Leibert Pierce, LLC",(312) 346-9088
