Value,Address,Address2,Date,Time,Date2,Time2,Case,Original_URL,Source,Atty,Atty_Contact,Address3,City,StateZip,State,Postal,County,Extra2
,208 S 17th Ave,"Maywood, IL 60153, Cook County",2025-07-30,12:00 pm,,,2024CH07210,https://www.auction.com/details/208-s-17th-ave-maywood-il-1741467,Auction.com,CODILIS & ASSOCIATES PC,(630) 794-5300,"Maywood, IL 60153, Cook County",Maywood,IL 60153,IL,60153, Cook County,
,4257 Southwest Highway,"Hometown, IL 60456, Cook County",2025-07-30,12:00 pm,,,24 CH 07225,https://www.auction.com/details/4257-southwest-hwy-hometown-il-1743665,Auction.com,"McCalla Raymer Leibert Pierce, LLC",(312) 346-9088,"Hometown, IL 60456, Cook County",Hometown,IL 60456,IL,60456, Cook County,
,205 Longford Drive,"Elgin, IL 60120, Cook County",2025-07-30,12:00 pm,,,2024CH10433,https://www.auction.com/details/205-longford-dr-elgin-il-1743672,Auction.com,"McCalla Raymer Leibert Pierce, LLC",(312) 346-9088,"Elgin, IL 60120, Cook County",Elgin,IL 60120,IL,60120, Cook County,
,953 Dartmouth Ave,"Matteson, IL 60443, Cook County",2025-07-30,12:00 pm,,,24 CH 3803,https://www.auction.com/details/953-dartmouth-ave-matteson-il-1744168,Auction.com,LOGS Legal Group LLP,(847) 291-1717,"Matteson, IL 60443, Cook County",Matteson,IL 60443,IL,60443, Cook County,
,8934 S Euclid,"Chicago, IL 60617, Cook County",2025-07-30,12:00 pm,,,2024CH09585,https://www.auction.com/details/8934-s-euclid-ave-chicago-il-1745372,Auction.com,KLUEVER LAW GROUP,(312) 236-0077,"Chicago, IL 60617, Cook County",Chicago,IL 60617,IL,60617, Cook County,
,11433 S Racine Ave,"Chicago, IL 60643, Cook County",2025-07-30,12:00 pm,,,2022CH07728,https://www.auction.com/details/11433-s-racine-ave-chicago-il-1747056,Auction.com,"Diaz Anselmo & Associates, LLC",(630) 453-6960,"Chicago, IL 60643, Cook County",Chicago,IL 60643,IL,60643, Cook County,
,5027 S Racine Ave,"Chicago, IL 60609, Cook County",2025-07-30,12:00 pm,,,2024CH05620,https://www.auction.com/details/5027-s-racine-ave-chicago-il-1748420,Auction.com,CODILIS & ASSOCIATES PC,(630) 794-5300,"Chicago, IL 60609, Cook County",Chicago,IL 60609,IL,60609, Cook County,
,9039 South Phillips Avenue,"Chicago, IL 60617, Cook County",2025-07-30,12:00 pm,,,24 CH 2853,https://www.auction.com/details/9039-s-phillips-ave-chicago-il-1769931,Auction.com,LOGS Legal Group LLP,(847) 291-1717,"Chicago, IL 60617, Cook County",Chicago,IL 60617,IL,60617, Cook County,
,15413 South Ellis Avenue,"Dolton, IL 60419, Cook County",2025-07-30,12:00 pm,,,24 CH 02580,https://www.auction.com/details/15413-ellis-ave-dolton-il-1772920,Auction.com,"McCalla Raymer Leibert Pierce, LLC",(312) 346-9088,"Dolton, IL 60419, Cook County",Dolton,IL 60419,IL,60419, Cook County,
,116 West 108th Street,"Chicago, IL 60628, Cook County",2025-07-30,12:00 pm,,,24 CH 03342,https://www.auction.com/details/116-w-108th-st-chicago-il-1774528,Auction.com,"McCalla Raymer Leibert Pierce, LLC",(312) 346-9088,"Chicago, IL 60628, Cook County",Chicago,IL 60628,IL,60628, Cook County,
,11830 South Watkins Avenue,"Chicago, IL 60643, Cook County",2025-07-30,12:00 pm,,,23 CH 6058,https://www.auction.com/details/11830-s-watkins-ave-chicago-il-1774809,Auction.com,LOGS Legal Group LLP,(847) 291-1717,"Chicago, IL 60643, Cook County",Chicago,IL 60643,IL,60643, Cook County,
,16615 Parkside Ave,"South Holland, IL 60473, Cook County",2025-07-30,12:00 pm,,,2019CH07555,https://www.auction.com/details/16615-parkside-ave-south-holland-il-1780634,Auction.com,CODILIS & ASSOCIATES PC,(630) 794-5300,"South Holland, IL 60473, Cook County",South Holland,IL 60473,IL,60473, Cook County,
,9232 S Loomis Street,"Chicago, IL 60620, Cook County",2025-07-30,12:00 pm,,,2023CH09779,https://www.auction.com/details/9232-s-loomis-st-chicago-il-1784296,Auction.com,"Diaz Anselmo & Associates, LLC",(630) 453-6960,"Chicago, IL 60620, Cook County",Chicago,IL 60620,IL,60620, Cook County,
,12 Elaine Road,"Sheridan, AR 72150, Grant County",2025-07-30,11:30 am,,,359684,https://www.auction.com/details/12-elaine-rd-sheridan-ar-1779705,Auction.com,Wilson and Associates PLLC,(501) 219-9388,"Sheridan, AR 72150, Grant County",Sheridan,AR 72150,AR,72150, Grant County,
,620 Cambridge Road,"Hueytown, AL 35023, Jefferson County",2025-07-30,11:00 am,,,25-00872-LC-A...,https://www.auction.com/details/620-cambridge-rd-hueytown-al-1763049,Auction.com,"Tiffany & Bosco, P.A.",(205) 930-5200,"Hueytown, AL 35023, Jefferson County",Hueytown,AL 35023,AL,35023, Jefferson County,
,1713 Savannah Park,"Birmingham, AL 35216, Jefferson County",2025-07-30,11:00 am,,,30-FC-25-0120...,https://www.auction.com/details/1713-savannah-park-vestavia-hills-al-1773022,Auction.com,"Spina and Lavelle, PC",(205) 298-1800,"Birmingham, AL 35216, Jefferson County",Birmingham,AL 35216,AL,35216, Jefferson County,
,1004 Coleman Dr,"Mc Calla, AL 35111, Jefferson County",2025-07-30,11:00 am,,,25-06908AL,https://www.auction.com/details/1004-coleman-dr-mc-calla-al-1784471,Auction.com,"McCalla Raymer Leibert Pierce, LLC",(770) 643-7200,"Mc Calla, AL 35111, Jefferson County",Mc Calla,AL 35111,AL,35111, Jefferson County,
,2241 East 20th Street,"Douglas, AZ 85607, Cochise County",2025-07-30,11:00 am,,,AZ-25-1012605...,https://www.auction.com/details/2241-e-20th-st-douglas-az-1733241,Auction.com,Quality Loan Service Corporation,(866) 645-7711,"Douglas, AZ 85607, Cochise County",Douglas,AZ 85607,AZ,85607, Cochise County,
,1940 E 13th St,"Douglas, AZ 85607, Cochise County",2025-07-30,11:00 am,,,TS 0000001039...,https://www.auction.com/details/1940-e-13th-st-douglas-az-1734010,Auction.com,Barrett Daffin Frappier Treder and Weiss,(866) 795-1852,"Douglas, AZ 85607, Cochise County",Douglas,AZ 85607,AZ,85607, Cochise County,
,2048 Santa Rita Drive,"Sierra Vista, AZ 85635, Cochise County",2025-07-30,11:00 am,,,AZ06000056-25...,https://www.auction.com/details/2048-santa-rita-dr-sierra-vista-az-1734822,Auction.com,TRUSTEE CORPS,(949) 252-8300,"Sierra Vista, AZ 85635, Cochise County",Sierra Vista,AZ 85635,AZ,85635, Cochise County,
,860 W Airport Rd,"Willcox, AZ 85643, Cochise County",2025-07-30,11:00 am,,,25-04266-GM-A...,https://www.auction.com/details/860-w-airport-rd-willcox-az-1739766,Auction.com,"Tiffany & Bosco, PA",(602) 255-6000,"Willcox, AZ 85643, Cochise County",Willcox,AZ 85643,AZ,85643, Cochise County,
,4401 Calle Cibola,"Sierra Vista, AZ 85635, Cochise County",2025-07-30,11:00 am,,,25-005236,https://www.auction.com/details/4401-calle-cibola-sierra-vista-az-1739930,Auction.com,America West Lender Services,(844) 693-4761,"Sierra Vista, AZ 85635, Cochise County",Sierra Vista,AZ 85635,AZ,85635, Cochise County,
,5840 E Dakota Rd,"Hereford, AZ 85615, Cochise County",2025-07-30,11:00 am,,,AZ06000066-25,https://www.auction.com/details/5840-e-dakota-rd-hereford-az-1743232,Auction.com,TRUSTEE CORPS,(949) 252-8300,"Hereford, AZ 85615, Cochise County",Hereford,AZ 85615,AZ,85615, Cochise County,
,932 Cactus Wren Lane,"Sierra Vista, AZ 85635, Cochise County",2025-07-30,11:00 am,,,25-40127-WF-A...,https://www.auction.com/details/932-cactus-wren-ln-sierra-vista-az-1774627,Auction.com,"Tiffany & Bosco, PA",(602) 255-6000,"Sierra Vista, AZ 85635, Cochise County",Sierra Vista,AZ 85635,AZ,85635, Cochise County,
,607 E Santa Fe Cir,"Benson, AZ 85602, Cochise County",2025-07-30,11:00 am,,,AZ14000002-25,https://www.auction.com/details/607-e-santa-fe-cir-benson-az-1779679,Auction.com,TRUSTEE CORPS,(949) 252-8300,"Benson, AZ 85602, Cochise County",Benson,AZ 85602,AZ,85602, Cochise County,
,1916 S Jackson St,"Butte, MT 59701-3016, Silver Bow County",2025-07-30,11:00 am,,,MT21878,https://www.auction.com/details/1916-s-jackson-st-butte-mt-1710931,Auction.com,"Halliday, Watkins and Mann, P.C.",(801) 355-2886,"Butte, MT 59701-3016, Silver Bow County",Butte,MT 59701-3016,MT,59701-3016, Silver Bow County,
,5125 Goldfinch Ct,"Granite Falls, NC 28630, Caldwell County",2025-07-30,11:00 am,,,25-271271,https://www.auction.com/details/5125-goldfinch-ct-granite-falls-nc-1785926,Auction.com,"RAS Crane, LLC",(470) 321-7112,"Granite Falls, NC 28630, Caldwell County",Granite Falls,NC 28630,NC,28630, Caldwell County,
,9542 East Irene Street,"Tucson, AZ 85730, Pima County",2025-07-30,10:00 am,,,2025-00139-AZ,https://www.auction.com/details/9542-e-irene-st-tucson-az-1732052,Auction.com,Western Progressive,(866) 960-8299,"Tucson, AZ 85730, Pima County",Tucson,AZ 85730,AZ,85730, Pima County,
,5853 E 19th Street,"Tucson, AZ 85711, Pima County",2025-07-30,10:00 am,,,25-004236,https://www.auction.com/details/5853-e-19th-st-tucson-az-1733452,Auction.com,America West Lender Services,(844) 693-4761,"Tucson, AZ 85711, Pima County",Tucson,AZ 85711,AZ,85711, Pima County,
,8709 E Almond St,"Tucson, AZ 85730, Pima County",2025-07-30,10:00 am,,,25-003690,https://www.auction.com/details/8709-e-almond-st-tucson-az-1733800,Auction.com,America West Lender Services,(844) 693-4761,"Tucson, AZ 85730, Pima County",Tucson,AZ 85730,AZ,85730, Pima County,
,1034 W Camino Hombre Viejo,"Sahuarita, AZ 85629, Pima County",2025-07-30,10:00 am,,,AZ09000022-25,https://www.auction.com/details/1034-w-camino-hombre-viejo-sahuarita-az-1734131,Auction.com,TRUSTEE CORPS,(949) 252-8300,"Sahuarita, AZ 85629, Pima County",Sahuarita,AZ 85629,AZ,85629, Pima County,
,9780 East Hollow Place,"Tucson, AZ 85748, Pima County",2025-07-30,10:00 am,,,AZ-24-999116-...,https://www.auction.com/details/9780-e-hollow-pl-tucson-az-1734473,Auction.com,Quality Loan Service Corporation,(866) 645-7711,"Tucson, AZ 85748, Pima County",Tucson,AZ 85748,AZ,85748, Pima County,
,7511 E Golf Links Rd,"Tucson, AZ 85730, Pima County",2025-07-30,10:00 am,,,24-67779,https://www.auction.com/details/7511-e-golf-links-rd-tucson-az-1737533,Auction.com,"ZBS Law, LLP",(602) 282-6188,"Tucson, AZ 85730, Pima County",Tucson,AZ 85730,AZ,85730, Pima County,
,1874 East Calle Grandiosa,"Tucson, AZ 85706, Pima County",2025-07-30,10:00 am,,,AZ-25-1012827...,https://www.auction.com/details/1874-e-calle-grandiosa-tucson-az-1737759,Auction.com,Quality Loan Service Corporation,(866) 645-7711,"Tucson, AZ 85706, Pima County",Tucson,AZ 85706,AZ,85706, Pima County,
,2950 N Alvernon Way Unit 11101,"Tucson, AZ 85712, Pima County",2025-07-30,10:00 am,,,AZ09000029-25,https://www.auction.com/details/2950-n-alvernon-way-tucson-az-1741704,Auction.com,TRUSTEE CORPS,(949) 252-8300,"Tucson, AZ 85712, Pima County",Tucson,AZ 85712,AZ,85712, Pima County,
,17310 S. Myrick Lane,"Sahuarita, AZ 85629, Pima County",2025-07-30,10:00 am,,,25-04154-PM-A...,https://www.auction.com/details/17310-s-myrick-ln-sahuarita-az-1743196,Auction.com,"Tiffany & Bosco, PA",(602) 255-6000,"Sahuarita, AZ 85629, Pima County",Sahuarita,AZ 85629,AZ,85629, Pima County,
,2020 W Via Tierra Santa,"Tucson, AZ 85746, Pima County",2025-07-30,10:00 am,,,25-04206-PM-A...,https://www.auction.com/details/2020-w-via-tierra-santa-tucson-az-1743296,Auction.com,"Tiffany & Bosco, PA",(602) 255-6000,"Tucson, AZ 85746, Pima County",Tucson,AZ 85746,AZ,85746, Pima County,
,3533 N Palmer Dr,"Tucson, AZ 85716, Pima County",2025-07-30,10:00 am,,,25-01020-PM-A...,https://www.auction.com/details/3533-n-palmer-dr-tucson-az-1746789,Auction.com,"Tiffany & Bosco, PA",(602) 255-6000,"Tucson, AZ 85716, Pima County",Tucson,AZ 85716,AZ,85716, Pima County,
,8844 N Twin Peaks Brook Road,"Tucson, AZ 85743, Pima County",2025-07-30,10:00 am,,,25-04298-JP-A...,https://www.auction.com/details/8844-n-twin-peaks-brook-rd-tucson-az-1747323,Auction.com,"Tiffany & Bosco, PA",(602) 255-6000,"Tucson, AZ 85743, Pima County",Tucson,AZ 85743,AZ,85743, Pima County,
,4748 E Orchard Grass Dr,"Tucson, AZ 85756, Pima County",2025-07-30,10:00 am,,,179807,https://www.auction.com/details/4748-e-orchard-grass-dr-tucson-az-1754765,Auction.com,Prime Recon LLC,(888) 725-4142,"Tucson, AZ 85756, Pima County",Tucson,AZ 85756,AZ,85756, Pima County,
,960 W Turnstone Pl,"Tucson, AZ 85737, Pima County",2025-07-30,10:00 am,,,24-09355-US-A...,https://www.auction.com/details/960-w-turnstone-pl-tucson-az-1759341,Auction.com,"Tiffany & Bosco, PA",(602) 255-6000,"Tucson, AZ 85737, Pima County",Tucson,AZ 85737,AZ,85737, Pima County,
,3730 S. Sarnoff Dr,"Tucson, AZ 85730, Pima County",2025-07-30,10:00 am,,,25-004602,https://www.auction.com/details/3730-s-sarnoff-dr-tucson-az-1763107,Auction.com,America West Lender Services,(844) 693-4761,"Tucson, AZ 85730, Pima County",Tucson,AZ 85730,AZ,85730, Pima County,
,4313 E Bellevue St,"Tucson, AZ 85712, Pima County",2025-07-30,10:00 am,,,AZ05000117-24,https://www.auction.com/details/4313-e-bellevue-st-tucson-az-1765170,Auction.com,TRUSTEE CORPS,(949) 252-8300,"Tucson, AZ 85712, Pima County",Tucson,AZ 85712,AZ,85712, Pima County,
,17321 E Zoo Stage Rd,"Vail, AZ 85641, Pima County",2025-07-30,10:00 am,,,25-72725,https://www.auction.com/details/17321-e-zoo-stage-rd-vail-az-1766626,Auction.com,"ZBS Law, LLP",(602) 282-6188,"Vail, AZ 85641, Pima County",Vail,AZ 85641,AZ,85641, Pima County,
,1851 W Horn Mesa Pl,"Tucson, AZ 85713, Pima County",2025-07-30,10:00 am,,,132945-AZ,https://www.auction.com/details/1851-w-horn-mesa-pl-tucson-az-1766885,Auction.com,Aldridge Pite LLP,(858) 750-7777,"Tucson, AZ 85713, Pima County",Tucson,AZ 85713,AZ,85713, Pima County,
,6141 E Calle Aurora,"Tucson, AZ 85711, Pima County",2025-07-30,10:00 am,,,178952,https://www.auction.com/details/6141-e-calle-aurora-tucson-az-1775321,Auction.com,"The Mortgage Law Firm, PC.",(619) 465-8200,"Tucson, AZ 85711, Pima County",Tucson,AZ 85711,AZ,85711, Pima County,
,2921 E Edward Lane,"Vail, AZ 85641, Pima County",2025-07-30,10:00 am,,,AZ-25-1006604...,https://www.auction.com/details/2921-e-edward-ln-vail-az-1780991,Auction.com,Quality Loan Service Corporation,(866) 645-7711,"Vail, AZ 85641, Pima County",Vail,AZ 85641,AZ,85641, Pima County,
,2548 E Glenn Street,"Tucson, AZ 85716, Pima County",2025-07-30,10:00 am,,,AZ09000087-24,https://www.auction.com/details/2548-e-glenn-st-tucson-az-1781942,Auction.com,TRUSTEE CORPS,(949) 252-8300,"Tucson, AZ 85716, Pima County",Tucson,AZ 85716,AZ,85716, Pima County,
,2951 W Nebraska St,"Tuscon, AZ 85746, Pima County",2025-07-30,10:00 am,,,AZ09000010-25,https://www.auction.com/details/2951-w-nebraska-st-tucson-az-1781969,Auction.com,TRUSTEE CORPS,(949) 252-8300,"Tuscon, AZ 85746, Pima County",Tuscon,AZ 85746,AZ,85746, Pima County,
,2023 W Arizona Rose Dr,"Oro Valley, AZ 85737, Pima County",2025-07-30,10:00 am,,,AZ05000021-25,https://www.auction.com/details/2023-w-arizona-rose-dr-oro-valley-az-1781971,Auction.com,TRUSTEE CORPS,(949) 252-8300,"Oro Valley, AZ 85737, Pima County",Oro Valley,AZ 85737,AZ,85737, Pima County,
,12064 E Becker Drive,"Vail, AZ 85641, Pima County",2025-07-30,10:00 am,,,24-71535,https://www.auction.com/details/12064-e-becker-dr-vail-az-1785094,Auction.com,"ZBS Law, LLP",(602) 282-6188,"Vail, AZ 85641, Pima County",Vail,AZ 85641,AZ,85641, Pima County,
,3601 Ellis Rd,"Rockford, IL 61101, Winnebago County",2025-07-30,10:00 am,,,2024-FC-00002...,https://www.auction.com/details/3601-ellis-rd-rockford-il-1742614,Auction.com,"RAS Crane, LLC",(561) 241-6901,"Rockford, IL 61101, Winnebago County",Rockford,IL 61101,IL,61101, Winnebago County,
,2003 Nebraska Rd,"Rockford, IL 61108, Winnebago County",2025-07-30,10:00 am,,,2024-FC-00001...,https://www.auction.com/details/2003-nebraska-rd-rockford-il-1752229,Auction.com,"RAS Crane, LLC",(561) 241-6901,"Rockford, IL 61108, Winnebago County",Rockford,IL 61108,IL,61108, Winnebago County,
,1962 Cyrus Cove Dr,"Hoover, AL 35244, Jefferson County",2025-07-30,1:00 pm,,,1263-3912A,https://www.auction.com/details/1962-cyrus-cove-dr-hoover-al-1758360,Auction.com,Aldridge Pite LLP,(404) 994-7400,"Hoover, AL 35244, Jefferson County",Hoover,AL 35244,AL,35244, Jefferson County,
,4359 Mount Vernon Road,"Springfield, OR 97478, Lane County",2025-07-30,1:00 pm,,,OR09000036-24,https://www.auction.com/details/4359-mt-vernon-rd-springfield-or-1776498,Auction.com,Trustee Corps,(949) 252-8300,"Springfield, OR 97478, Lane County",Springfield,OR 97478,OR,97478, Lane County,
,9323 Stephen Richards Memorial Dr,"Juneau, AK 99801, Juneau County",2025-07-23,,,,AK240085,https://www.auction.com/details/9323-stephen-richards-memorial-dr-juneau-ak-1778441,Auction.com,"The Sayer Law Group, P.C.",(319) 234-2530,"Juneau, AK 99801, Juneau County",Juneau,AK 99801,AK,99801, Juneau County,
,18 Maple Dr,"Frederick, CO 80530, Weld County",2025-07-23,,,,TS 10277044,https://www.auction.com/details/18-maple-dr-frederick-co-1773880,Auction.com,"Barrett, Frappier and Weisserman",(626) 915-5714,"Frederick, CO 80530, Weld County",Frederick,CO 80530,CO,80530, Weld County,
,375 County Road 218,"Durango, CO 81303, La Plata County",2025-07-23,,,,,https://www.auction.com/details/375-county-road-218-durango-co-1741395,Auction.com,"Barrett, Frappier and Weisserman",(626) 915-5714,"Durango, CO 81303, La Plata County",Durango,CO 81303,CO,81303, La Plata County,
,11807 Kepner Dr,"Aurora, CO 80012, Arapahoe County",2025-07-23,,,,,https://www.auction.com/details/11807-e-kepner-dr-aurora-co-1747067,Auction.com,"Barrett, Frappier and Weisserman",(626) 915-5714,"Aurora, CO 80012, Arapahoe County",Aurora,CO 80012,CO,80012, Arapahoe County,
,5176 Summerville Cir,"Castle Rock, CO 80109, Douglas County",2025-07-23,,,,2025CV30078,https://www.auction.com/details/5176-summerville-cir-castle-rock-co-1759119,Auction.com,"Halliday, Watkins and Mann, P.C.",,"Castle Rock, CO 80109, Douglas County",Castle Rock,CO 80109,CO,80109, Douglas County,
