Value,Address,Address2,Date,Time,Date2,Time2,Case,URL,Source,Atty,Atty_Contact
,1280 Reding Ave,"Eugene, OR 97402, Lane County","Wednesday, Sep 10, 2025
Add to calendar",1:00 pm,,,117369-OR,https://www.auction.com/details/1280-reding-ave-eugene-or-1793658,Auction.com,Aldridge Pite LLP,Borrowers/homeowners should call (878) 750-7600
,6972 Needle Point Drive,"Orlando, FL 32822, Orange County","Wednesday, Sep 03, 2025
Add to calendar",TBD,,,2023-CA-01490...,https://www.auction.com/details/6972-needle-point-dr-orlando-fl-1750065,Auction.com,Aldridge Pite LLP,Borrowers/homeowners should call (877) 319-8840
,4518 Idlewild Ave,"Tampa, FL 33614, Hillsborough County","Wednesday, Sep 03, 2025
Add to calendar",TBD,,,,https://www.auction.com/details/4518-w-idlewild-ave-tampa-fl-1794368,Auction.com,"McCabe, Weisberg and Conway, LLC",
,383 Tanglewood Court,"Jefferson, OR 97352, Marion County","Wednesday, Sep 03, 2025
Add to calendar",9:00 am,,,2025-00035-OR,https://www.auction.com/details/383-tanglewood-ct-jefferson-or-1735372,Auction.com,Premium Title Insurance Agency,Borrowers/homeowners should call (866) 960-8299
,10706 Locust Ct,"Fredericksburg, VA 22407, Spotsylvania County","Wednesday, Sep 03, 2025
Add to calendar",9:00 am,,,2024-00359-VA,https://www.auction.com/details/10706-locust-ct-fredericksburg-va-1779779,Auction.com,Western Progressive,Borrowers/homeowners should call (866) 960-8299
,2600 5th Ave S,"Great Falls, MT 59405, Cascade County","Wednesday, Sep 03, 2025
Add to calendar",2:00 pm,,,MT22848,https://www.auction.com/details/2600-5th-ave-s-great-falls-mt-1736041,Auction.com,"Halliday, Watkins and Mann, P.C.",Borrowers/homeowners should call (801) 355-2886
,17 Willow Avenue,"Williamstown, NJ 08094, Gloucester County","Wednesday, Sep 03, 2025
Add to calendar",2:00 pm,,,03-022101-F00,https://www.auction.com/details/17-willow-ave-williamstown-nj-1778634,Auction.com,"Frenkel, Lambert, Weiss, Weisman and Gordon LLP",
,1186 Brewer Ave,"Westville, NJ 08093, Gloucester County","Wednesday, Sep 03, 2025
Add to calendar",2:00 pm,,,24-18659-FC01,https://www.auction.com/details/1186-brewer-ave-west-deptford-nj-1789703,Auction.com,Brock & Scott PLLC,Borrowers/homeowners should call (844) 856-6646
,632 Johnson Road,"Winslow, NJ 08081, Camden County","Wednesday, Sep 03, 2025
Add to calendar",12:00 pm,,,112155_ST_1,https://www.auction.com/details/632-johnson-rd-sicklerville-nj-1787635,Auction.com,"Pluese, Becker, Saltzman & Thomas, LLC",Borrowers/homeowners should call (856) 813-1700
,444 Homestead Road,"Chesapeake, VA 23321, Chesapeake City County","Wednesday, Sep 03, 2025
Add to calendar",12:00 pm,,,2025-00116-VA,https://www.auction.com/details/444-homestead-rd-chesapeake-va-1779762,Auction.com,Western Progressive,Borrowers/homeowners should call (866) 960-8299
,270 Pleasantway Dr,"Jasper, AL 35501, Walker County","Wednesday, Sep 03, 2025
Add to calendar",11:00 am,,,25-09527-FC01,https://www.auction.com/details/270-pleasantway-dr-jasper-al-1767318,Auction.com,Brock and Scott PLLC,Borrowers/homeowners should call (205) 988-4202
,1446 5th Ave,"Pleasant Grove, AL 35127, Jefferson County","Wednesday, Sep 03, 2025
Add to calendar",11:00 am,,,25-02814-QQ-A...,https://www.auction.com/details/1446-5th-ave-pleasant-grove-al-1779613,Auction.com,"Tiffany & Bosco, P.A.",Borrowers/homeowners should call (205) 930-5200
,217 Chestnut Ave,"Glendive, MT 59330, Dawson County","Wednesday, Sep 03, 2025
Add to calendar",11:00 am,,,MT22727,https://www.auction.com/details/217-chestnut-ave-glendive-mt-1733665,Auction.com,"Halliday, Watkins and Mann, P.C.",Borrowers/homeowners should call (801) 355-2886
,7748 North Farm 129 Road,"Willard, MO 65781, Greene County","Wednesday, Sep 03, 2025
Add to calendar",10:00 am,,,MO250127,https://www.auction.com/details/7748-n-farm-129-rd-willard-mo-1776316,Auction.com,"The Sayer Law Group, P.C.",Borrowers/homeowners should call (319) 234-2530
,2807 Brighton Forest Dr,"Apex, NC 27539, Wake County","Wednesday, Sep 03, 2025
Add to calendar",10:00 am,,,32073,https://www.auction.com/details/2807-brighton-forest-dr-apex-nc-1784306,Auction.com,Ingle Law Firm,Borrowers/homeowners should call (949) 111-1111
,37 Walden Court,"Old Bridge, NJ 08857, Middlesex County","Wednesday, Sep 03, 2025
Add to calendar",1:30 pm,,,02142022.5021...,https://www.auction.com/details/37-walden-ct-old-bridge-nj-1793354,Auction.com,"Pincus Law Group, PLLC",Borrowers/homeowners should call (516) 699-8902
,1896 Strawberry Ln,"Lebanon, OR 97355, Linn County","Wednesday, Sep 03, 2025
Add to calendar",1:00 pm,,,OR-24-999838-...,https://www.auction.com/details/1896-strawberry-ln-lebanon-or-1782553,Auction.com,Quality Loan Service Corporation,Borrowers/homeowners should call (619) 645-7711
,156 North 5th Street,"New Castle, CO 81647, Garfield County","Wednesday, Oct 29, 2025
Add to calendar",TBD,,,TS 10495182,https://www.auction.com/details/156-n-5th-st-new-castle-co-1788782,Auction.com,"Barrett, Frappier and Weisserman",Borrowers/homeowners should call (626) 915-5714
,11172 Indian Echo Terrace,"Peyton, CO 80831, El Paso County","Wednesday, Oct 29, 2025
Add to calendar",TBD,,,25-035173,https://www.auction.com/details/11172-indian-echo-ter-peyton-co-1790234,Auction.com,"Janeway Law Firm, PC",
,965 Weeks Dr NE,"Keizer, OR 97303, Marion County","Wednesday, Oct 29, 2025
Add to calendar",9:00 am,,,,https://www.auction.com/details/965-weeks-dr-ne-keizer-or-1791323,Auction.com,Premium Title Insurance Agency,Borrowers/homeowners should call (866) 960-8299
,117 Love Drive,"Harriman, TN 37748, Roane County","Wednesday, Oct 29, 2025
Add to calendar",11:00 am,,,361099,https://www.auction.com/details/117-love-dr-harriman-tn-1743494,Auction.com,Wilson and Associates PLLC,Borrowers/homeowners should call (901) 578-9914
,27736 East Alder Drive,"Aurora, CO 80016, Arapahoe County","Wednesday, Oct 22, 2025
Add to calendar",TBD,,,TS 10486231,https://www.auction.com/details/27736-e-alder-dr-aurora-co-1786036,Auction.com,"Barrett, Frappier and Weisserman",Borrowers/homeowners should call (626) 915-5714
,9402 NW 2nd Pl,"Miami Shores, FL 33150, Miami-Dade County","Wednesday, Oct 22, 2025
Add to calendar",TBD,,,2019-006586-C...,https://www.auction.com/details/9402-nw-2nd-pl-miami-shores-fl-1787356,Auction.com,Van Ness Law Firm PLC,Borrowers/homeowners should call (954) 571-2031
,426 Wild Forrest Dr,"Davenport, FL 33837, Polk County","Wednesday, Oct 22, 2025
Add to calendar",TBD,,,,https://www.auction.com/details/426-wild-forrest-dr-davenport-fl-1791349,Auction.com,"Robertson, Anschutz, Schneid, Crane & Partners, PLLC",
,93122 Knappa Dock Rd,"Astoria, OR 97103, Clatsop County","Wednesday, Oct 22, 2025
Add to calendar",1:00 pm,,,128191-OR,https://www.auction.com/details/93122-knappa-dock-rd-astoria-or-1768965,Auction.com,Aldridge Pite LLP,Borrowers/homeowners should call (878) 750-7600
,4921 10th St Rd,"Greeley, CO 80634, Weld County","Wednesday, Oct 15, 2025
Add to calendar",TBD,,,,https://www.auction.com/details/4921-w-10th-street-rd-greeley-co-1783884,Auction.com,"Janeway Law Firm, PC",
,3414 Poplar Hill,"Clarksville, TN 37043, Montgomery County","Wednesday, Oct 15, 2025
Add to calendar",11:00 am,,,362666,https://www.auction.com/details/3414-poplar-hl-clarksville-tn-1793356,Auction.com,Wilson and Associates PLLC,Borrowers/homeowners should call (901) 578-9914
,600 Louise Lane,"Fort Collins, CO 80521, Larimer County","Wednesday, Oct 08, 2025
Add to calendar",TBD,,,TS 10219244,https://www.auction.com/details/600-louise-ln-fort-collins-co-1777646,Auction.com,"Barrett, Frappier and Weisserman",Borrowers/homeowners should call (626) 915-5714
,2212 Massachusetts Ave,"Butte, MT 59701, Silver Bow County","Wednesday, Oct 08, 2025
Add to calendar",11:00 am,,,MT22740,https://www.auction.com/details/2212-massachusetts-ave-butte-mt-1757285,Auction.com,"Halliday, Watkins and Mann, P.C.",Borrowers/homeowners should call (801) 355-2886
,3103 S Dakota St,"Butte, MT 59701, Silver Bow County","Wednesday, Oct 08, 2025
Add to calendar",11:00 am,,,MT23022,https://www.auction.com/details/3103-s-dakota-st-butte-mt-1767705,Auction.com,"Halliday, Watkins and Mann, P.C.",Borrowers/homeowners should call (801) 355-2886
,78388 Halderman Road,"Cottage Grove, OR 97424, Lane County","Wednesday, Oct 08, 2025
Add to calendar",1:00 pm,,,180984,https://www.auction.com/details/78388-halderman-rd-cottage-grove-or-1794542,Auction.com,Prime Recon LLC,Borrowers/homeowners should call (888) 725-4142
,5419 Illini Way,"Boulder, CO 80303, Boulder County","Wednesday, Oct 01, 2025
Add to calendar",TBD,,,TS 10119998,https://www.auction.com/details/5419-illini-way-boulder-co-1773623,Auction.com,"Barrett, Frappier and Weisserman",Borrowers/homeowners should call (626) 915-5714
,7 El Espinar Circle,"Hot Springs Villa, AR 71909, Garland County","Wednesday, Oct 01, 2025
Add to calendar",12:00 pm,,,361847,https://www.auction.com/details/7-el-espinar-cir-hot-springs-village-ar-1744566,Auction.com,Wilson and Associates PLLC,Borrowers/homeowners should call (501) 219-9388
,100 Ridgewood Ln,"Eufaula, AL 36027, Barbour County","Wednesday, Oct 01, 2025
Add to calendar",1:00 pm,,,30-FC-24-0154...,https://www.auction.com/details/100-ridgewood-ln-eufaula-al-1784480,Auction.com,"Spina and Lavelle, PC",Borrowers/homeowners should call (205) 298-1800
,114 E 3rd St,"Lowell, OR 97452, Lane County","Wednesday, Nov 05, 2025
Add to calendar",1:00 pm,,,131245-OR,https://www.auction.com/details/114-e-3rd-st-lowell-or-1784324,Auction.com,Aldridge Pite LLP,Borrowers/homeowners should call (878) 750-7600
,1575 Red Hills Pl,"Cottage Grove, OR 97424, Lane County","Wednesday, Nov 05, 2025
Add to calendar",1:00 pm,,,119834-OR,https://www.auction.com/details/1575-red-hills-pl-cottage-grove-or-1790244,Auction.com,Aldridge Pite LLP,Borrowers/homeowners should call (878) 750-7600
,3735 Cates Mill Rd,"Roxboro, NC 27574, Person County","Wednesday, May 28, 2025
Add to calendar",11:00 am,,,23-115964-FC0...,https://www.auction.com/details/3735-cates-mill-rd-roxboro-nc-1748638,Auction.com,No Broker/Agent commission on this property. Learn more about Broker Co-op.,
,502 Davis Heights Dr,"Gastonia, NC 28052, Gaston County","Wednesday, May 28, 2025
Add to calendar",10:00 am,,,17-091620-FC0...,https://www.auction.com/details/502-davis-heights-dr-gastonia-nc-1748624,Auction.com,No Broker/Agent commission on this property. Learn more about Broker Co-op.,
,6992 North Nc Highway 109,"Winston Salem, NC 27107, Davidson County","Wednesday, May 21, 2025
Add to calendar",11:30 am,,,22430-109960,https://www.auction.com/details/6992-n-nc-highway-109-winston-salem-nc-1737180,Auction.com,No Broker/Agent commission on this property. Learn more about Broker Co-op.,
,1916 Graham Street,"Gastonia, NC 28052, Gaston County","Wednesday, May 21, 2025
Add to calendar",10:00 am,,,24-118741-FC0...,https://www.auction.com/details/1916-graham-st-gastonia-nc-1743970,Auction.com,No Broker/Agent commission on this property. Learn more about Broker Co-op.,
,1196 Pickett Road,"Jacksonville, NC 28540, Onslow County","Wednesday, Jun 25, 2025
Add to calendar",11:30 am,,,22-13974,https://www.auction.com/details/1196-pickett-rd-jacksonville-nc-1732312,Auction.com,No Broker/Agent commission on this property. Learn more about Broker Co-op.,
,513 Maggies Court,"Jacksonville, NC 28540, Onslow County","Wednesday, Jun 25, 2025
Add to calendar",10:00 am,,,23-56371,https://www.auction.com/details/513-maggies-ct-jacksonville-nc-1738227,Auction.com,No Broker/Agent commission on this property. Learn more about Broker Co-op.,
,1410 Rosewood Lane,"Gastonia, NC 28052, Gaston County","Wednesday, Jun 18, 2025
Add to calendar",11:00 am,,,24-002182,https://www.auction.com/details/1410-rosewood-ln-gastonia-nc-1748449,Auction.com,No Broker/Agent commission on this property. Learn more about Broker Co-op.,
,104 Silverina Ct,"Shelby, NC 28152, Cleveland County","Wednesday, Jun 11, 2025
Add to calendar",11:30 am,,,14305,https://www.auction.com/details/104-silverina-ct-shelby-nc-1729861,Auction.com,No Broker/Agent commission on this property. Learn more about Broker Co-op.,
,1759 Smith Avenue,"Gastonia, NC 28052, Gaston County","Wednesday, Jun 04, 2025
Add to calendar",1:15 pm,,,24595-123328,https://www.auction.com/details/1759-smith-ave-gastonia-nc-1747088,Auction.com,No Broker/Agent commission on this property. Learn more about Broker Co-op.,
,4801 Irish Potato Rd,"Kannapolis, NC 28083, Cabarrus County","Wednesday, Jun 04, 2025
Add to calendar",1:00 pm,,,24-36365,https://www.auction.com/details/4801-irish-potato-rd-kannapolis-nc-1748861,Auction.com,No Broker/Agent commission on this property. Learn more about Broker Co-op.,
,9604 Prairie Farm Dr,"Commerce City, CO 80022, Adams County","Wednesday, Jul 30, 2025
Add to calendar",TBD,,,CO-25-1010865...,https://www.auction.com/details/9604-prairie-farm-dr-commerce-city-co-1716991,Auction.com,"McCarthy & Holthus, LLP",
,7848 Downing St,"Thornton, CO 80229, Adams County","Wednesday, Jul 30, 2025
Add to calendar",TBD,,,25-034452,https://www.auction.com/details/7848-downing-st-thornton-co-1718603,Auction.com,"Janeway Law Firm, PC",
,420 W 26th St,"Rifle, CO 81650, Garfield County","Wednesday, Jul 30, 2025
Add to calendar",TBD,,,25-034438,https://www.auction.com/details/420-w-26th-st-rifle-co-1718605,Auction.com,"Janeway Law Firm, PC",
,3740 W 85th Ave,"Westminster, CO 80031, Adams County","Wednesday, Jul 30, 2025
Add to calendar",TBD,,,25-034428,https://www.auction.com/details/3740-w-85th-ave-westminster-co-1718606,Auction.com,"Janeway Law Firm, PC",
,135 E 4th St,"Parachute, CO 81635, Garfield County","Wednesday, Jul 30, 2025
Add to calendar",TBD,,,24-031868,https://www.auction.com/details/135-e-4th-st-parachute-co-1718759,Auction.com,"Janeway Law Firm, PC",
,6721 Club Villa Rd,"Parker, CO 80134, Douglas County","Wednesday, Jul 30, 2025
Add to calendar",TBD,,,TS 10356368,https://www.auction.com/details/6721-club-villa-rd-parker-co-1771418,Auction.com,"Barrett, Frappier and Weisserman",Borrowers/homeowners should call (626) 915-5714
,4821 N Silverlace Dr,"Castle Rock, CO 80109, Douglas County","Wednesday, Jul 30, 2025
Add to calendar",TBD,,,CO-24-1001779...,https://www.auction.com/details/4821-n-silverlace-dr-castle-rock-co-1722469,Auction.com,"McCarthy & Holthus, LLP",
,510 Deer Trail Rd,"Durango, CO 81303, La Plata County","Wednesday, Jul 30, 2025
Add to calendar",TBD,,,TS 10348647,https://www.auction.com/details/510-deer-trail-rd-durango-co-1777634,Auction.com,"Barrett, Frappier and Weisserman",Borrowers/homeowners should call (626) 915-5714
,1504 Zuni Road,"Pueblo, CO 81001, Pueblo County","Wednesday, Jul 30, 2025
Add to calendar",TBD,,,22-027768,https://www.auction.com/details/1504-zuni-rd-pueblo-co-1722611,Auction.com,"Janeway Law Firm, PC",
,6106 Westcroft Ave,"Castle Rock, CO 80104, Douglas County","Wednesday, Jul 30, 2025
Add to calendar",TBD,,,CO-25-1011001...,https://www.auction.com/details/6106-westcroft-ave-castle-rock-co-1723227,Auction.com,"McCarthy & Holthus, LLP",
,1093 West 85th Avenue,"Denver, CO 80260, Adams County","Wednesday, Jul 30, 2025
Add to calendar",TBD,,,TS 10332278,https://www.auction.com/details/1093-w-85th-ave-denver-co-1777666,Auction.com,"Barrett, Frappier and Weisserman",Borrowers/homeowners should call (626) 915-5714
,3184 Kennedy Ave,"Grand Junction, CO 81504, Mesa County","Wednesday, Jul 30, 2025
Add to calendar",TBD,,,TS 10382620,https://www.auction.com/details/3184-kennedy-ave-grand-junction-co-1792299,Auction.com,"Barrett, Frappier and Weisserman",Borrowers/homeowners should call (626) 915-5714
