Address,Address2,County,Date,Case,URL,Source,Atty,Atty_Contact
1460 CHEROKEE RD,"Florence,  SC  29501",Florence,Aug 05 2025 at 11:00 AM local,1460 CHEROKEE RD,https://www.hubzu.com/property/90117302387-1460-CHEROKEE-RD-Florence-SC-29501,Hubzu.com,"Robertson Anschutz Schneid Crane & Partners, PLLC",470-321-7112
437 ALEDO CREEKS RD E,"Fort Worth,  TX  76126",Parker,Aug 05 2025 at 11:00 AM local,25-000119-673,https://www.hubzu.com/property/91717216552-437-ALEDO-CREEKS-RD-E-Fort-Worth-TX-76126,Hubzu.com,"Power Default Services, Inc.",866-960-8299
1531 N PENNSYLVANIA AVE,"Mason City,  IA  50401",Cerro Gordo,Aug 05 2025 at 10:00 AM local,249336,https://www.hubzu.com/property/90117305379-1531-N-PENNSYLVANIA-AVE-Mason-City-IA-50401,Hubzu.com,"SouthLaw, P.C.",800-381-1536
15606 SCENIC HAVEN DR,"Houston,  TX  77083",Fort Bend,Aug 05 2025 at 1:00 PM local,24-001031-673,https://www.hubzu.com/property/91717129755-15606-SCENIC-HAVEN-DR-Houston-TX-77083,Hubzu.com,"Power Default Services, Inc.",866-960-8299
5447 CALTON BND,"San Antonio,  TX  78253",BEXAR,Aug 05 2025 at 1:00 PM local,25-000446-673,https://www.hubzu.com/property/91717285504-5447-CALTON-BND-San-Antonio-TX-78253,Hubzu.com,"Power Default Services, Inc.",866-960-8299
134 HOLLENBECK AVE,"San Antonio,  TX  78211",BEXAR,Aug 05 2025 at 1:00 PM local,25-000433-673,https://www.hubzu.com/property/91717244465-134-HOLLENBECK-AVE-San-Antonio-TX-78211,Hubzu.com,"Power Default Services, Inc.",866-960-8299
1203 E LOUISIANA AVE,"Dallas,  TX  75216",DALLAS,Aug 05 2025 at 1:00 PM local,25-000480-673,https://www.hubzu.com/property/91717242334-1203-E-LOUISIANA-AVE-Dallas-TX-75216,Hubzu.com,"Power Default Services, Inc.",866-960-8299
5930 ONYX WAY,"San Antonio,  TX  78222",BEXAR,Aug 05 2025 at 1:00 PM local,24-33027,https://www.hubzu.com/property/87916579427-5930-ONYX-WAY-San-Antonio-TX-78222,Hubzu.com,"Vylla Solutions, LLC",888-313-1969
1014 PONDVIEW DR,"Cedar Hill,  TX  75104",DALLAS,Aug 05 2025 at 1:00 PM local,19-000265-673,https://www.hubzu.com/property/91716594741-1014-PONDVIEW-DR-Cedar-Hill-TX-75104,Hubzu.com,"Power Default Services, Inc.",866-960-8299
6806 GARNET TRAIL LN,"Richmond,  TX  77469",Fort Bend,Aug 05 2025 at 1:00 PM local,18-001662-673,https://www.hubzu.com/property/91716777932-6806-GARNET-TRAIL-LN-Richmond-TX-77469,Hubzu.com,"Power Default Services, Inc.",866-960-8299
1714 LUKE ST,"Ennis,  TX  75119",ELLIS,Aug 05 2025 at 1:00 PM local,25-000492-673,https://www.hubzu.com/property/91717304572-1714-LUKE-ST-Ennis-TX-75119,Hubzu.com,"Power Default Services, Inc.",866-960-8299
657 VAN AVE,"Shelbyville,  IN  46176",Shelby,Aug 07 2025 at 10:00 AM local,105495F02,https://www.hubzu.com/property/90117321021-657-VAN-AVE-Shelbyville-IN-46176,Hubzu.com,Feiwell & Hannoy PC,317-237-2727
5840 LONGWOOD DR UNIT 102,"Murrells Inlet,  SC  29576",Horry,Aug 04 2025 at 11:00 AM local,5840  LONGWOOD DR,https://www.hubzu.com/property/90117403863-5840-LONGWOOD-DR-UNIT-102-Murrells-Inlet-SC-29576,Hubzu.com,"Robertson Anschutz Schneid Crane & Partners, PLLC",470-321-7112
260 CAROLINA FARMS BLVD,"Myrtle Beach,  SC  29579",Horry,Aug 04 2025 at 11:00 AM local,2025-CP-26-00980,https://www.hubzu.com/property/90117321013-260-CAROLINA-FARMS-BLVD-Myrtle-Beach-SC-29579,Hubzu.com,Brock & Scott PLLC,844-856-6646
34 ARGYLE CT,"Simpsonville,  SC  29681",Greenville,Aug 04 2025 at 11:00 AM local,34 ARGYLE CT,https://www.hubzu.com/property/87916264085-34-ARGYLE-CT-Simpsonville-SC-29681,Hubzu.com,Hutchens Law Firm,803-726-2700
116 ELDERBERRY CT,"Lexington,  SC  29072",Lexington,Aug 04 2025 at 11:00 AM local,2024-CP-32-02255,https://www.hubzu.com/property/90117474180-116-ELDERBERRY-CT-Lexington-SC-29072,Hubzu.com,Brock & Scott PLLC,844-856-6646
2905 SANTA LUCIA ST,"Corpus Christi,  TX  78415",NUECES,Aug 05 2025 at 10:00 AM local,2905 SANTA LUCIA ST,https://www.hubzu.com/property/91717009147-2905-SANTA-LUCIA-ST-Corpus-Christi-TX-78415,Hubzu.com,Hughes Watters & Askanase LLP,713-590-4200
1636 7TH AVE N,"Fort Dodge,  IA  50501",Webster,Aug 05 2025 at 9:30 AM local,249049,https://www.hubzu.com/property/90117321029-1636-7TH-AVE-N-Fort-Dodge-IA-50501,Hubzu.com,"SouthLaw, P.C.",800-381-1536
2261 N VAN PELT ST,"Philadelphia,  PA  19132",Philadelphia,Aug 05 2025 at 10:00 AM local,191100001,https://www.hubzu.com/property/91716527936-2261-N-VAN-PELT-ST-Philadelphia-PA-19132,Hubzu.com,Stern & Eisenberg PC,215-572-8111
4112 TRABERT CT,"Dover,  PA  17315",York,Aug 04 2025 at 2:00 PM local,2024-SU-001912,https://www.hubzu.com/property/87916976387-4112-TRABERT-CT-Dover-PA-17315,Hubzu.com,Hill Wallack LLP,215-579-7700
3258 KESSOCK RIDGE TRL,"Snellville,  GA  30039",GWINNETT,Aug 05 2025 at 10:00 AM local,25-33958,https://www.hubzu.com/property/87917241397-3258-KESSOCK-RIDGE-TRL-Snellville-GA-30039,Hubzu.com,"Vylla Solutions, LLC",888-313-1969
402 W LIBERTY ST,"Winnsboro,  SC  29180",Fairfield,Aug 04 2025 at 11:00 AM local,2024-CP-20-00454,https://www.hubzu.com/property/90117262414-402-W-LIBERTY-ST-Winnsboro-SC-29180,Hubzu.com,Brock & Scott PLLC,844-856-6646
11630 ALPINE VALE CT,"Houston,  TX  77038",HARRIS,Aug 05 2025 at 10:00 AM local,23-34738,https://www.hubzu.com/property/87916747980-11630-ALPINE-VALE-CT-Houston-TX-77038,Hubzu.com,"Vylla Solutions, LLC",888-313-1969
4413 AVENUE O,"Galveston,  TX  77550",GALVESTON,Aug 05 2025 at 10:00 AM local,23-00487-673,https://www.hubzu.com/property/91716815457-4413-AVENUE-O-Galveston-TX-77550,Hubzu.com,"Power Default Services, Inc.",866-960-8299
3509 ARTHUR ST,"Wichita Falls,  TX  76308",WICHITA,Aug 05 2025 at 10:00 AM local,25-000460-673,https://www.hubzu.com/property/91717285503-3509-ARTHUR-ST-Wichita-Falls-TX-76308,Hubzu.com,"Power Default Services, Inc.",866-960-8299
10314 MOONSET LN,"Houston,  TX  77016",HARRIS,Aug 05 2025 at 10:00 AM local,23-000752-673,https://www.hubzu.com/property/91716869848-10314-MOONSET-LN-Houston-TX-77016,Hubzu.com,"Power Default Services, Inc.",866-960-8299
10019 VICTORIA CHASE LN,"Houston,  TX  77075",HARRIS,Aug 05 2025 at 10:00 AM local,25-00046-673,https://www.hubzu.com/property/91717285507-10019-VICTORIA-CHASE-LN-Houston-TX-77075,Hubzu.com,"Power Default Services, Inc.",866-960-8299
1444 FRANCESCA DR,"El Paso,  TX  79936",EL PASO,Aug 05 2025 at 10:00 AM local,22-000181-673,https://www.hubzu.com/property/91716607172-1444-FRANCESCA-DR-El-Paso-TX-79936,Hubzu.com,"Power Default Services, Inc.",866-960-8299
626 FREMONT ST,"Anoka,  MN  55303",Anoka,Aug 05 2025 at 10:00 AM local,056244-F1,https://www.hubzu.com/property/91717244384-626-FREMONT-ST-Anoka-MN-55303,Hubzu.com,"Wilford, Geske & Cook, P.A.",651-209-3300
20407 SUNNY SHORES DR,"Humble,  TX  77346",HARRIS,Aug 05 2025 at 10:00 AM local,25-000511-673,https://www.hubzu.com/property/91717304402-20407-SUNNY-SHORES-DR-Humble-TX-77346,Hubzu.com,"Power Default Services, Inc.",866-960-8299
431 E SEARS ST,"Denison,  TX  75021",GRAYSON,Aug 05 2025 at 10:00 AM local,24-000108-673,https://www.hubzu.com/property/91716914312-431-E-SEARS-ST-Denison-TX-75021,Hubzu.com,"Power Default Services, Inc.",866-960-8299
18322 PAIGE TERR CT,"Cypress,  TX  77433",HARRIS,Aug 05 2025 at 10:00 AM local,25-000466-673,https://www.hubzu.com/property/91717285169-18322-PAIGE-TERR-CT-Cypress-TX-77433,Hubzu.com,"Power Default Services, Inc.",866-960-8299
3035 COUNTY RD 325,"Mc Kinney,  TX  75069",Collin,Aug 05 2025 at 10:00 AM local,25-000373-673,https://www.hubzu.com/property/91717278963-3035-COUNTY-RD-325-Mc-Kinney-TX-75069,Hubzu.com,"Power Default Services, Inc.",866-960-8299
2120 N WILLOW DR,"Wasilla,  AK  99654",Matanuska Susitna,Jul 30 2025 at 10:00 AM local,133898-AK,https://www.hubzu.com/property/91717242540-2120-N-WILLOW-DR-Wasilla-AK-99654,Hubzu.com,Aldridge Pite LLP,858-750-7600
710 MAPLE DR,"Aurora,  MN  55705",Saint Louis,Jul 30 2025 at 10:00 AM local,710 MAPLE DR,https://www.hubzu.com/property/91717244481-710-MAPLE-DR-Aurora-MN-55705,Hubzu.com,Halliday Watkins & Mann PC,801-355-2886
658 FOREST GLEN DR UNIT 658,"Valparaiso,  IN  46385",Porter,Jul 30 2025 at 10:00 AM local,110548F01,https://www.hubzu.com/property/90117321020-658-FOREST-GLEN-DR-UNIT-658-Valparaiso-IN-46385,Hubzu.com,Feiwell & Hannoy PC,317-237-2727
15124 SE YAMHILL ST,"Portland,  OR  97233",Multnomah,Jul 30 2025 at 10:00 AM local,132048-OR,https://www.hubzu.com/property/91717216355-15124-SE-YAMHILL-ST-Portland-OR-97233,Hubzu.com,Aldridge Pite LLP,858-750-7600
729 T M WEST PKWY,"West,  TX  76691",MCLENNAN,Aug 05 2025 at 10:00 AM local,23-000647-673,https://www.hubzu.com/property/91716839569-729-T-M-WEST-PKWY-West-TX-76691,Hubzu.com,"Power Default Services, Inc.",866-960-8299
125 PENNSYLVANIA AVE,"Ottumwa,  IA  52501",Wapello,Jul 30 2025 at 10:15 AM local,243247,https://www.hubzu.com/property/90116978414-125-PENNSYLVANIA-AVE-Ottumwa-IA-52501,Hubzu.com,"SouthLaw, P.C.",800-381-1536
87741 RENDEZVOUS LOOP,"Veneta,  OR  97487",LANE,Jul 31 2025 at 10:00 AM local,06302016,https://www.hubzu.com/property/91717007385-87741-RENDEZVOUS-LOOP-Veneta-OR-97487,Hubzu.com,Aldridge Pite LLP,858-750-7600
24283 CALLEN ST,"Parksley,  VA  23421",Accomack,Jul 30 2025 at 1:45 PM local,24283 CALLEN ST,https://www.hubzu.com/property/91717262398-24283-CALLEN-ST-Parksley-VA-23421,Hubzu.com,BWW Law Group LLC,804-282-0463
564 HALLER ST,"Lima,  OH  45801",Allen,Jul 30 2025 at 11:00 AM local,CF20240073,https://www.hubzu.com/property/87916961922-564-HALLER-ST-Lima-OH-45801,Hubzu.com,LOGS Legal Group LLP,513-396-8100
12482 WESTHAMPTON CIR,"Wellington,  FL  33414",Palm Beach,Jul 31 2025 at 10:00 AM local,24-002583-1,https://www.hubzu.com/property/87917264552-12482-WESTHAMPTON-CIR-Wellington-FL-33414,Hubzu.com,Lender Legal PLLC,407-999-0089
209 S MAIN ST,"Faith,  NC  28041",Rowan,Jul 31 2025 at 10:00 AM local,25SP125,https://www.hubzu.com/property/93517474188-209-S-MAIN-ST-Faith-NC-28041,Hubzu.com,"Fletcher, Tydings, Williams-Tracy & Gott, PLLC",704-334-3400
4675 CYGNUS RD,"Bellemont,  AZ  86015",Coconino,Jul 31 2025 at 10:30 AM local,2024-00359-AZ,https://www.hubzu.com/property/91717129783-4675-CYGNUS-RD-Bellemont-AZ-86015,Hubzu.com,"Western Progressive - Arizona, Inc.",866-960-8299
20429 ARMANDA CT,"Clinton Township,  MI  48035",Macomb,Aug 01 2025 at 10:00 AM local,20429 ARMANDA CT,https://www.hubzu.com/property/91717304587-20429-ARMANDA-CT-Clinton-Township-MI-48035,Hubzu.com,Trott Law P.C.,248-642-2515
1217 S 19TH ST,"Tacoma,  WA  98405",PIERCE,Aug 01 2025 at 10:00 AM local,2024-00222-WA,https://www.hubzu.com/property/91717102060-1217-S-19TH-ST-Tacoma-WA-98405,Hubzu.com,"Western Progressive - Washington, Inc.",866-960-8299
14025 GROVE PARK DR,"Sterling Heights,  MI  48313",Macomb,Aug 01 2025 at 10:00 AM local,14025 Grove Park,https://www.hubzu.com/property/91717102161-14025-GROVE-PARK-DR-Sterling-Heights-MI-48313,Hubzu.com,Trott Law P.C.,248-642-2515
2406 PROSPECT LN,"Williamsport,  PA  17701",Lycoming,Aug 01 2025 at 10:30 AM local,2406 PROSPECT LN,https://www.hubzu.com/property/91716770678-2406-PROSPECT-LN-Williamsport-PA-17701,Hubzu.com,Stern & Eisenberg PC,215-572-8111
16 Delighted Ave,"North Las Vegas,  NV  89031",Clark,Aug 01 2025 at 10:00 AM local,2023-00126-NV,https://www.hubzu.com/property/91716618625-16-Delighted-Ave-North-Las-Vegas-NV-89031,Hubzu.com,"Western Progressive, LLC",866-960-8299
417 BAY LEAF DR,"Kissimmee,  FL  34759",Polk,Aug 01 2025 at 10:00 AM local,2022-CA-002101,https://www.hubzu.com/property/87916620299-417-BAY-LEAF-DR-Kissimmee-FL-34759,Hubzu.com,Lender Legal PLLC,407-999-0089
207 GLENDALE AVE,"Greenwood,  SC  29649",Greenwood,Aug 04 2025 at 11:00 AM local,2024-CP-24-00742,https://www.hubzu.com/property/90117284438-207-GLENDALE-AVE-Greenwood-SC-29649,Hubzu.com,Brock & Scott PLLC,844-856-6646
177 POPLAR RIDGE DR,"Pittsburgh,  PA  15235",Allegheny,Aug 04 2025 at 9:00 AM local,GD-24-002221,https://www.hubzu.com/property/91716896051-177-POPLAR-RIDGE-DR-Pittsburgh-PA-15235,Hubzu.com,Stern & Eisenberg PC,215-572-8111
1211 S GILBERT ST UNIT 205,"Castle Rock,  CO  80104",Douglas,Jul 23 2025 at 10:00 AM local,10356749,https://www.hubzu.com/property/91717216270-1211-S-GILBERT-ST-UNIT-205-Castle-Rock-CO-80104,Hubzu.com,Barrett Frappier & Weisserman LLP,972-386-5040
2337 LAURIE ST,"Cayce,  SC  29033",Lexington,Aug 04 2025 at 11:00 AM local,2023-CP-32-01872,https://www.hubzu.com/property/91716528038-2337-LAURIE-ST-Cayce-SC-29033,Hubzu.com,Hutchens Law Firm,803-726-2700
302 WASHINGTON AVE,"Frankfort,  IN  46041",Clinton,Jul 23 2025 at 10:00 AM local,24-024484,https://www.hubzu.com/property/91716714036-302-WASHINGTON-AVE-Frankfort-IN-46041,Hubzu.com,Manley Deas & Kochalski LLC,614-220-5611
424 MAGAZINE ST,"Pulaski,  VA  24301",Pulaski,Aug 01 2025 at 1:00 PM local,85-25-003575 FC,https://www.hubzu.com/property/87917107273-424-MAGAZINE-ST-Pulaski-VA-24301,Hubzu.com,"Robertson Anschutz Schneid Crane & Partners, PLLC",844-442-2150
304 4TH ST,"Luling,  LA  70070",Saint Charles,Jul 23 2025 at 10:00 AM local,24-031136,https://www.hubzu.com/property/87916943639-304-4TH-ST-Luling-LA-70070,Hubzu.com,LOGS Legal Group LLP,504-831-7726
1540 W 74TH PL,"Merrillville,  IN  46410",Lake,Aug 01 2025 at 10:00 AM local,23-030156,https://www.hubzu.com/property/91716896027-1540-W-74TH-PL-Merrillville-IN-46410,Hubzu.com,Manley Deas & Kochalski LLC,614-220-5611
1211 BOWER ST,"Elkhart,  IN  46514",Elkhart,Jul 23 2025 at 10:30 AM local,110672F01,https://www.hubzu.com/property/90117303514-1211-BOWER-ST-Elkhart-IN-46514,Hubzu.com,Feiwell & Hannoy PC,317-237-2727
59023 MARTIN LUTHER KING BLVD,"Plaquemine,  LA  70764",Iberville,Jul 23 2025 at 10:00 AM local,59023 MARTIN LUTHER KING BLVD,https://www.hubzu.com/property/87917279358-59023-MARTIN-LUTHER-KING-BLVD-Plaquemine-LA-70764,Hubzu.com,Graham Arceneaux & Allen LLC,504-522-8256
1406 ASHLEY AVE,"Fort Wayne,  IN  46825",Allen,Jul 23 2025 at 2:00 PM local,G338-314,https://www.hubzu.com/property/90117301656-1406-ASHLEY-AVE-Fort-Wayne-IN-46825,Hubzu.com,"Doyle & Foutty, P.C.",317-264-5000
851 S DEER BEND DR,"Hanover,  IN  47243",Jefferson,Jul 24 2025 at 10:00 AM local,15-24-00013,https://www.hubzu.com/property/91716693560-851-S-DEER-BEND-DR-Hanover-IN-47243,Hubzu.com,"Codilis Law, LLC",219-736-5579
1220 COLERICK ST,"Fort Wayne,  IN  46806",Allen,Jul 23 2025 at 2:00 PM local,15-24-01189,https://www.hubzu.com/property/90117301658-1220-COLERICK-ST-Fort-Wayne-IN-46806,Hubzu.com,"Codilis Law, LLC",219-736-5579
6 IRONWOOD DR,"Cottonwood,  ID  83522",Idaho,Jul 23 2025 at 2:00 PM local,6 IRONWOOD DR,https://www.hubzu.com/property/91717216054-6-IRONWOOD-DR-Cottonwood-ID-83522,Hubzu.com,"McCarthy Holthus, LLP",877-369-6122
102 KEARNEY AVE,"Jersey City,  NJ  07305",Hudson,Jul 24 2025 at 2:00 PM local,F-001690-22,https://www.hubzu.com/property/87916431131-102-KEARNEY-AVE-Jersey-City-NJ-07305,Hubzu.com,Hill Wallack LLP,609-924-0808
1622 CLARENCE ST,"Sarcoxie,  MO  64862",JASPER,Jul 24 2025 at 2:00 PM local,1622 CLARENCE ST,https://www.hubzu.com/property/91716528815-1622-CLARENCE-ST-Sarcoxie-MO-64862,Hubzu.com,Millsap & Singer LLC,636-537-0110
10734 HUESEMAN RD,"Aurora,  IN  47001",Dearborn,Jul 24 2025 at 1:30 PM local,10734 HUESEMAN RD,https://www.hubzu.com/property/87916770409-10734-HUESEMAN-RD-Aurora-IN-47001,Hubzu.com,Lender Legal PLLC,407-999-0089
307 3RD AVE,"Low Moor,  IA  52757",Clinton,Jul 25 2025 at 9:30 AM local,307 3RD AVE,https://www.hubzu.com/property/90117303513-307-3RD-AVE-Low-Moor-IA-52757,Hubzu.com,Dentons Davis Brown,515-288-2500
1745 PIERCE RD,"Saginaw,  MI  48604",Saginaw,Jul 25 2025 at 10:00 AM local,1745 PIERCE RD,https://www.hubzu.com/property/91716833953-1745-PIERCE-RD-Saginaw-MI-48604,Hubzu.com,Trott Law P.C.,248-642-2515
102 Grow Ln,"Streamwood,  IL  60107",Cook,Jul 28 2025 at 10:30 AM local,45-1177,https://www.hubzu.com/property/91716929988-102-Grow-Ln-Streamwood-IL-60107,Hubzu.com,Codilis & Associates PC,630-794-5300
323 E PRAIRIE ST,"Belle Plaine,  MN  56011",Scott,Jul 29 2025 at 10:00 AM local,323 E PRAIRIE ST,https://www.hubzu.com/property/91716619070-323-E-PRAIRIE-ST-Belle-Plaine-MN-56011,Hubzu.com,Halliday Watkins & Mann PC,801-355-2886
1419 PASO ROBLES AVE,"Sierra Vista,  AZ  85635",Cochise,Jul 29 2025 at 10:30 AM local,2025-00112-AZ,https://www.hubzu.com/property/91717244372-1419-PASO-ROBLES-AVE-Sierra-Vista-AZ-85635,Hubzu.com,"Western Progressive - Arizona, Inc.",866-960-8299
