Address,Address2,County,Date,Case,URL,Source,Atty,Atty_Contact
15905 WAYCROSS DR,"Biloxi,  MS  39532",JACKSON,Jul 15 2025 at 11:00 AM local,25-35139,https://www.hubzu.com/property/87917284806-15905-WAYCROSS-DR-Biloxi-MS-39532,Hubzu.com,"Vylla Solutions, LLC",888-313-1969
1622 CLARENCE ST,"Sarcoxie,  MO  64862",JASPER,Jul 24 2025 at 2:00 PM local,,https://www.hubzu.com/property/91716528815-1622-CLARENCE-ST-Sarcoxie-MO-64862,Hubzu.com,Millsap & Singer LLC,636-537-0110
1636 7TH AVE N,"Fort Dodge,  IA  50501",Webster,Aug 05 2025 at 9:30 AM local,249049,https://www.hubzu.com/property/90117321029-1636-7TH-AVE-N-Fort-Dodge-IA-50501,Hubzu.com,"SouthLaw, P.C.",800-381-1536
167 HOWARD RD,"Greenwood,  IN  46142",Johnson,Jul 17 2025 at 10:00 AM local,15-24-01255,https://www.hubzu.com/property/90117305377-167-HOWARD-RD-Greenwood-IN-46142,Hubzu.com,"Codilis Law, LLC",219-736-5579
1745 PIERCE RD,"Saginaw,  MI  48604",Saginaw,Jul 11 2025 at 10:00 AM local,,https://www.hubzu.com/property/91716833953-1745-PIERCE-RD-Saginaw-MI-48604,Hubzu.com,Trott Law P.C.,248-642-2515
177 POPLAR RIDGE DR,"Pittsburgh,  PA  15235",Allegheny,Jul 07 2025 at 9:00 AM local,GD-24-002221,https://www.hubzu.com/property/91716896051-177-POPLAR-RIDGE-DR-Pittsburgh-PA-15235,Hubzu.com,Stern & Eisenberg PC,215-572-8111
18039 E 108TH PL,"Commerce City,  CO  80022",Adams,Jul 16 2025 at 10:00 AM local,361145,https://www.hubzu.com/property/87917212791-18039-E-108TH-PL-Commerce-City-CO-80022,Hubzu.com,Barrett Frappier & Weisserman LLP,972-386-5040
1808 CRICKET LN,"Folcroft,  PA  19032",Delaware,Jul 18 2025 at 10:00 AM local,CV2023003415,https://www.hubzu.com/property/91716759955-1808-CRICKET-LN-Folcroft-PA-19032,Hubzu.com,Stern & Eisenberg PC,215-572-8111
181 BELL DR,"Danville,  VA  24541",Danville City,Jul 11 2025 at 1:00 PM local,463386,https://www.hubzu.com/property/93517305143-181-BELL-DR-Danville-VA-24541,Hubzu.com,"Cohn, Goldberg & Deutsch, LLC",410-296-2550
1818 ALFREDA BLVD,"San Pablo,  CA  94806",Contra Costa,Jul 10 2025 at 1:30 PM local,2024-01767-CA,https://www.hubzu.com/property/91716625834-1818-ALFREDA-BLVD-San-Pablo-CA-94806,Hubzu.com,"Western Progressive, LLC",866-960-8299
18343 COURTNEY CT,"Bloomington,  CA  92316",San Bernardino,Jul 16 2025 at 1:00 PM local,2025-00221-CA,https://www.hubzu.com/property/91717231926-18343-COURTNEY-CT-Bloomington-CA-92316,Hubzu.com,"Western Progressive Trustee, LLC",866-960-8299
1916 VERMONT AVE,"Connersville,  IN  47331",Fayette,Jul 09 2025 at 10:00 AM local,G338-498,https://www.hubzu.com/property/90117284441-1916-VERMONT-AVE-Connersville-IN-47331,Hubzu.com,The Sayer Law Group P.C.,319-234-2530
195 N TECUMSEH RD,"Springfield,  OH  45504",,Jun. 24 - Jul. 01,22CV0324,https://www.hubzu.com/property/91716610559-195-N-TECUMSEH-RD-Springfield-OH-45504,Hubzu.com,Manley Deas & Kochalski LLC,614-220-5611
19996 E HWY 74,"Elkins,  AR  72727",Washington,Jul 16 2025 at 10:00 AM local,2025-11527,https://www.hubzu.com/property/91717278973-19996-E-HWY-74-Elkins-AR-72727,Hubzu.com,"Wilson & Associates, PLLC",501-219-9388
20 DEWEY ST,"Portsmouth,  VA  23704",Portsmouth City,Jul 15 2025 at 11:15 AM local,,https://www.hubzu.com/property/91717216347-20-DEWEY-ST-Portsmouth-VA-23704,Hubzu.com,"Western Progressive - Virginia, Inc.",866-960-8299
203 ST ANDREWS RD,"Walden,  NY  12586",Orange,Jul 18 2025 at 10:00 AM local,,https://www.hubzu.com/property/87916821836-203-ST-ANDREWS-RD-Walden-NY-12586,Hubzu.com,"Roach & Lin, P.C.",516-938-3100
20429 ARMANDA CT,"Clinton Township,  MI  48035",Macomb,Aug 01 2025 at 10:00 AM local,,https://www.hubzu.com/property/91717304587-20429-ARMANDA-CT-Clinton-Township-MI-48035,Hubzu.com,Trott Law P.C.,248-642-2515
20451 MORRIS AVE,"Euclid,  OH  44123",Cuyahoga,Jul 14 2025 at 9:00 AM local,979316,https://www.hubzu.com/property/91716781358-20451-MORRIS-AVE-Euclid-OH-44123,Hubzu.com,Manley Deas & Kochalski LLC,614-220-5611
207 GLENDALE AVE,"Greenwood,  SC  29649",Greenwood,Aug 04 2025 at 11:00 AM local,2024-CP-24-00742,https://www.hubzu.com/property/90117284438-207-GLENDALE-AVE-Greenwood-SC-29649,Hubzu.com,Brock & Scott PLLC,844-856-6646
207 W 4TH AVE,"Indianola,  IA  50125",Warren,Jul 17 2025 at 10:00 AM local,247340,https://www.hubzu.com/property/90117264920-207-W-4TH-AVE-Indianola-IA-50125,Hubzu.com,"SouthLaw, P.C.",800-381-1536
2130 OLD MILL RD,"Madison,  OH  44057",Lake,Jul 07 2025 at 10:00 AM local,F23-47055,https://www.hubzu.com/property/91717009177-2130-OLD-MILL-RD-Madison-OH-44057,Hubzu.com,Reimer Law Co.,440-600-5500
21417 LAKE RD,"Ironton,  MN  56455",Crow Wing,Jul 10 2025 at 10:00 AM local,23-116108,https://www.hubzu.com/property/87916430188-21417-LAKE-RD-Ironton-MN-56455,Hubzu.com,LOGS Legal Group LLP,952-821-4060
221 OSCEOLA AVE E,"Harris,  IA  51345",Osceola,Jul 08 2025 at 10:00 AM local,243351,https://www.hubzu.com/property/90117218899-221-OSCEOLA-AVE-E-Harris-IA-51345,Hubzu.com,"SouthLaw, P.C.",800-381-1536
222 S SODERQUIST RD,"Turlock,  CA  95380",STANISLAUS,Jul 11 2025 at 1:00 PM local,00000010160216,https://www.hubzu.com/property/91717007399-222-S-SODERQUIST-RD-Turlock-CA-95380,Hubzu.com,Barrett Daffin Frappier Treder & Weiss LLP,972-386-5040
22666 Road L34,"Underwood,  IA  51576",Pottawattamie,Jul 18 2025 at 10:00 AM local,,https://www.hubzu.com/property/90117285107-22666-Road-L34-Underwood-IA-51576,Hubzu.com,"SouthLaw, P.C.",800-381-1536
228 SHEFFIELD DR,"York,  SC  29745",York,Jul 07 2025 at 11:00 AM local,,https://www.hubzu.com/property/90117321011-228-SHEFFIELD-DR-York-SC-29745,Hubzu.com,Bell Carrington & Price LLC,803-509-5078
23 TURTLE CT,"Delanco,  NJ  08075",Burlington,Jul 17 2025 at 12:00 PM local,F-007399-24,https://www.hubzu.com/property/87916978910-23-TURTLE-CT-Delanco-NJ-08075,Hubzu.com,Hill Wallack LLP,609-924-0808
2337 LAURIE ST,"Cayce,  SC  29033",Lexington,Aug 04 2025 at 11:00 AM local,2023-CP-32-01872,https://www.hubzu.com/property/91716528038-2337-LAURIE-ST-Cayce-SC-29033,Hubzu.com,Hutchens Law Firm,803-726-2700
234 CLAYTON ST,"Ottumwa,  IA  52501",Wapello,Jul 30 2025 at 10:00 AM local,245479,https://www.hubzu.com/property/90117302385-234-CLAYTON-ST-Ottumwa-IA-52501,Hubzu.com,"SouthLaw, P.C.",800-381-1536
2406 PROSPECT LN,"Williamsport,  PA  17701",Lycoming,Aug 01 2025 at 10:30 AM local,,https://www.hubzu.com/property/91716770678-2406-PROSPECT-LN-Williamsport-PA-17701,Hubzu.com,Stern & Eisenberg PC,215-572-8111
24283 CALLEN ST,"Parksley,  VA  23421",Accomack,Jul 30 2025 at 1:45 PM local,,https://www.hubzu.com/property/91717262398-24283-CALLEN-ST-Parksley-VA-23421,Hubzu.com,BWW Law Group LLC,804-282-0463
2495 HACKS CROSS RD,"Germantown,  TN  38138",SHELBY,Jul 08 2025 at 10:00 AM local,2023-00083-TN,https://www.hubzu.com/property/91716870749-2495-HACKS-CROSS-RD-Germantown-TN-38138,Hubzu.com,"Western Progressive - Tennessee, Inc",866-960-8299
2540 LORI DR SW,"Cedar Rapids,  IA  52404",Linn,Jul 15 2025 at 10:00 AM local,235706,https://www.hubzu.com/property/90117305374-2540-LORI-DR-SW-Cedar-Rapids-IA-52404,Hubzu.com,"SouthLaw, P.C.",800-381-1536
25717 PIONEER TRL,"Council Bluffs,  IA  51503",Pottawattamie,Jul 18 2025 at 10:00 AM local,,https://www.hubzu.com/property/90117285108-25717-PIONEER-TRL-Council-Bluffs-IA-51503,Hubzu.com,"SouthLaw, P.C.",800-381-1536
2586 DUET DR,"West Sacramento,  CA  95691",Yolo,Jul 17 2025 at 12:45 PM local,2024-01164-CA,https://www.hubzu.com/property/91716992810-2586-DUET-DR-West-Sacramento-CA-95691,Hubzu.com,"Western Progressive Trustee, LLC",866-960-8299
27484 COPELAND RD,"Athens,  AL  35613",Limestone,Jul 09 2025 at 11:00 AM local,AL2025-00193,https://www.hubzu.com/property/87917301488-27484-COPELAND-RD-Athens-AL-35613,Hubzu.com,McMichael Taylor Gray LLC,404-474-7149
28648 N 165TH AVE,"Surprise,  AZ  85387",Maricopa,Jul 09 2025 at 10:30 AM local,23-09087,https://www.hubzu.com/property/91717008994-28648-N-165TH-AVE-Surprise-AZ-85387,Hubzu.com,"Tiffany & Bosco, P.A.",602-255-6000
2905 SANTA LUCIA ST,"Corpus Christi,  TX  78415",NUECES,Aug 05 2025 at 10:00 AM local,,https://www.hubzu.com/property/91717009147-2905-SANTA-LUCIA-ST-Corpus-Christi-TX-78415,Hubzu.com,Hughes Watters & Askanase LLP,713-590-4200
2952 HURON ST,"Allentown,  PA  18103",Lehigh,Jul 18 2025 at 10:00 AM local,2024-C-3251,https://www.hubzu.com/property/91716833520-2952-HURON-ST-Allentown-PA-18103,Hubzu.com,Stern & Eisenberg PC,215-572-8111
3019 ROSE AVE,"Erie,  PA  16510",Erie,Jul 18 2025 at 10:00 AM local,24-243332- JeP,https://www.hubzu.com/property/87917107268-3019-ROSE-AVE-Erie-PA-16510,Hubzu.com,"Robertson Anschutz Schneid Crane & Partners, PLLC",855-225-6906
302 WASHINGTON AVE,"Frankfort,  IN  46041",Clinton,Jul 23 2025 at 10:00 AM local,24-024484,https://www.hubzu.com/property/91716714036-302-WASHINGTON-AVE-Frankfort-IN-46041,Hubzu.com,Manley Deas & Kochalski LLC,614-220-5611
303 PALAMA DR,"Kahului,  HI  96732",Maui,Jul 21 2025 at 11:00 AM local,140050,https://www.hubzu.com/property/90117071302-303-PALAMA-DR-Kahului-HI-96732,Hubzu.com,The Mortgage Law Firm,619-465-8200
304 4TH ST,"Luling,  LA  70070",Saint Charles,Jul 23 2025 at 10:00 AM local,24-031136,https://www.hubzu.com/property/87916943639-304-4TH-ST-Luling-LA-70070,Hubzu.com,LOGS Legal Group LLP,504-831-7726
3050 MEETING HOUSE LN,"Indianapolis,  IN  46222",Marion,Jul 18 2025 at 10:00 AM local,24-027160,https://www.hubzu.com/property/90117301662-3050-MEETING-HOUSE-LN-Indianapolis-IN-46222,Hubzu.com,Manley Deas & Kochalski LLC,614-220-5611
307 3RD AVE,"Low Moor,  IA  52757",Clinton,Jul 25 2025 at 9:30 AM local,,https://www.hubzu.com/property/90117303513-307-3RD-AVE-Low-Moor-IA-52757,Hubzu.com,Dentons Davis Brown,515-288-2500
313 W WILDWOOD DR,"San Antonio,  TX  78212",BEXAR,Jul 01 2025 at 1:00 PM local,24-001110-673,https://www.hubzu.com/property/91717158171-313-W-WILDWOOD-DR-San-Antonio-TX-78212,Hubzu.com,"Power Default Services, Inc.",866-960-8299
31510 SUNSET DR,"Painter,  VA  23420",Accomack,Jul 11 2025 at 12:30 PM local,,https://www.hubzu.com/property/91717102080-31510-SUNSET-DR-Painter-VA-23420,Hubzu.com,BWW Law Group LLC,804-282-0463
3229 NEWMAN LN,"Shreveport,  LA  71119",Caddo,Jul 02 2025 at 10:00 AM local,,https://www.hubzu.com/property/91716950074-3229-NEWMAN-LN-Shreveport-LA-71119,Hubzu.com,LOGS Legal Group LLP,504-831-7726
323 E PRAIRIE ST,"Belle Plaine,  MN  56011",Scott,Jul 29 2025 at 10:00 AM local,,https://www.hubzu.com/property/91716619070-323-E-PRAIRIE-ST-Belle-Plaine-MN-56011,Hubzu.com,Halliday Watkins & Mann PC,801-355-2886
32589 RICHARDSON ST,"Menifee,  CA  92584",Riverside,Jul 16 2025 at 9:30 AM local,2025-00110-CA,https://www.hubzu.com/property/91717216116-32589-RICHARDSON-ST-Menifee-CA-92584,Hubzu.com,"Western Progressive Trustee, LLC",866-960-8299
328 E KIMBALL ST,"Hancock,  IA  51536",Pottawattamie,Jul 11 2025 at 10:00 AM local,244108,https://www.hubzu.com/property/90117264919-328-E-KIMBALL-ST-Hancock-IA-51536,Hubzu.com,"SouthLaw, P.C.",800-381-1536
3333 CONSERVANCY DR,"Chesapeake,  VA  23323",Chesapeake City,Jul 29 2025 at 2:45 PM local,VA-376039-1,https://www.hubzu.com/property/91717244665-3333-CONSERVANCY-DR-Chesapeake-VA-23323,Hubzu.com,BWW Law Group LLC,804-282-0463
335 N ROBINSON ST,"Schoolcraft,  MI  49087",Kalamazoo,Jul 17 2025 at 10:00 AM local,25-006492,https://www.hubzu.com/property/87916747165-335-N-ROBINSON-ST-Schoolcraft-MI-49087,Hubzu.com,Orlans PC,248-502-1400
336 HIDDEN COVE DR,"Little River,  SC  29566",Horry,Jul 07 2025 at 11:00 AM local,,https://www.hubzu.com/property/90117321012-336-HIDDEN-COVE-DR-Little-River-SC-29566,Hubzu.com,Bell Carrington & Price LLC,803-509-5078
34 ARGYLE CT,"Simpsonville,  SC  29681",Greenville,Jul 07 2025 at 11:00 AM local,,https://www.hubzu.com/property/87916264085-34-ARGYLE-CT-Simpsonville-SC-29681,Hubzu.com,Hutchens Law Firm,803-726-2700
34 LAKESHORE DR,"Danville,  IL  61832",Vermilion,Jul 10 2025 at 10:00 AM local,24FC39,https://www.hubzu.com/property/87916963966-34-LAKESHORE-DR-Danville-IL-61832,Hubzu.com,Lender Legal PLLC,407-730-4644
36121 W OLIVO ST,"Maricopa,  AZ  85138",Pinal,Jul 29 2025 at 10:30 AM local,23-05585,https://www.hubzu.com/property/91717008995-36121-W-OLIVO-ST-Maricopa-AZ-85138,Hubzu.com,"Tiffany & Bosco, P.A.",602-255-6000
3674 TRINITY LN,"Abilene,  TX  79602",TAYLOR,Jul 01 2025 at 1:00 PM local,25-000118-673,https://www.hubzu.com/property/91717216629-3674-TRINITY-LN-Abilene-TX-79602,Hubzu.com,"Power Default Services, Inc.",866-960-8299
37 SMITH RD,"Warwick,  MA  01378",Franklin,Jul 09 2025 at 12:00 PM local,22-041738,https://www.hubzu.com/property/91716745791-37-SMITH-RD-Warwick-MA-01378,Hubzu.com,Korde & Associates,978-256-1500
370 AUSTIN ST,"Timpson,  TX  75975",Shelby,Jul 01 2025 at 1:00 PM local,24TX267-0621,https://www.hubzu.com/property/87917100553-370-AUSTIN-ST-Timpson-TX-75975,Hubzu.com,Miller George & Suggs PLLC,972-532-0128
3902 GUADALAJARA,"Laredo,  TX  78046",WEBB,Jul 01 2025 at 1:00 PM local,24-000828-673,https://www.hubzu.com/property/91717025963-3902-GUADALAJARA-Laredo-TX-78046,Hubzu.com,"Power Default Services, Inc.",866-960-8299
39737 MANOR DR APT 31,"Harrison Township,  MI  48045",Macomb,Jul 18 2025 at 10:00 AM local,,https://www.hubzu.com/property/91717304366-39737-MANOR-DR-APT-31-Harrison-Township-MI-48045,Hubzu.com,Trott Law P.C.,248-642-2515
401 E SOUTH ST,"Eaton,  IN  47338",Delaware,Jul 09 2025 at 10:00 AM local,G280-409,https://www.hubzu.com/property/90117215900-401-E-SOUTH-ST-Eaton-IN-47338,Hubzu.com,"Doyle & Foutty, P.C.",317-264-5000
