Address,City,State,Postal,County,Date,Time,Case,URL,Source,Atty,Atty_Contact
1 Wgate Ln 1D,Boynton Beach,PA,  334,Palmbeach,07/30/2025,10:00 AM ET,502024CA008291XXXAMB,https://palmbeach.realforeclose.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=07/30/2025,Realforeclose.com,,
1 Willow St,Middleton,MA,01949, Essex ,2025-07-16 00:00:00,12:00 pm,24-046839-FC0...,https://www.auction.com/details/1-willow-st-middleton-ma-1772673,Auction.com,"Korde And Associates, P.C.",(978) 256-1500
10 Chatham St,Nashua,NH,03063,Hillsborough,2025-07-23 00:00:00,04:00PM,,https://www.xome.com/auctions/10-Chatham-Street-Nashua-NH-3063-395875045,Xome.com,"Korde & Associates, P.C.",978-256-1500
10 Cobblestone Rd,Cherry Hill,NJ,08003, Camden ,2025-07-16 00:00:00,12:00 pm,230532-1,https://www.auction.com/details/10-cobblestone-rd-cherry-hill-nj-1777607,Auction.com,Friedman Vartolo LLP,
10 E Lee St,Hagerstown,MD,21740, Washington ,2025-07-21 00:00:00,,,https://www.auction.com/details/10-e-lee-st-hagerstown-md-1710755,Auction.com,Brock & Scott PLLC,(410) 306-7821
10 E Lee St 1002,Baltimore,MD,21202, Baltimore City ,2025-07-17 00:00:00,,22-01-0876-01...,https://www.auction.com/details/10-e-lee-st-baltimore-md-1767592,Auction.com,"Bww Law Group, LLC",
10 Lewiston Ave,Pinehurst,ID,83850, Shoshone ,2025-07-16 00:00:00,2:00 pm,131052-ID,https://www.auction.com/details/10-lewiston-ave-pinehurst-id-1695548,Auction.com,Aldridge Pite LLP,(858) 750-7600
10 Littlefield Ct,Haverhill,MA,01832, Essex ,2025-07-22 00:00:00,3:00 pm,24-35534-FC01,https://www.auction.com/details/10-littlefield-ct-haverhill-ma-1778297,Auction.com,Brock And Scott PLLC,(401) 217-8701
10 Lynnhurst Dr 2140,Ormond Beach,FL,  321,Volusia,08/08/2025,11:00 AM ET,2024 13394 CICI,https://volusia.realforeclose.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/08/2025,Realforeclose.com,,
10 Parma Dr,Daphne,AL,36526, Baldwin ,2025-07-10 00:00:00,1:00 pm,25-05303-QQ-A...,https://www.auction.com/details/10-parma-dr-daphne-al-1767603,Auction.com,"Tiffany & Bosco, P.A.",(205) 930-5200
10 Perry Ln,Amherst,ME,04605, Hancock ,2025-07-17 00:00:00,,,https://www.auction.com/details/10-perry-ln-amherst-me-1783621,Auction.com,Brock And Scott PLLC,(401) 272-1400
10 Rdgview Rd,Portland,CT,06480, Middlesex ,2025-07-12 00:00:00,,,https://www.auction.com/details/10-ridgeview-rd-portland-ct-1769119,Auction.com,"Mccalla Raymer Leibert Pierce, LLC",
10 Sage St,Lebanon ,OH, 4503,Warren,07/28/2025,08:30 AM ET,24CV097988,https://warren.sheriffsaleauction.ohio.gov/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=07/28/2025,Realforeclose.com,,
10 Summer St,Barre Town,VT,05649, Washington ,2025-07-23 00:00:00,,,https://www.auction.com/details/10-summer-st-east-barre-vt-1778184,Auction.com,Brock And Scott PLLC,(401) 217-8701
10 Tara Dr,Colusa,CA,95932, Colusa ,2025-07-15 00:00:00,10:00 am,24-01948-LC-C...,https://www.auction.com/details/10-tara-dr-colusa-ca-1762332,Auction.com,National Default Servicing Corporation,(602) 264-6101
10 W 69Th St,Kansas City,MO,64113, Jackson ,2025-07-23 00:00:00,10:00 am,26-24-00804,https://www.auction.com/details/10-w-69th-st-kansas-city-mo-1787263,Auction.com,Csm Foreclosure Trustee Corp.,(630) 794-5300
10 Windermere Ct,York,PA, 1740,York,08/04/2025,02:00 PM ET,2022-SU-001591 (0),https://york.pa.realforeclose.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/04/2025,Realforeclose.com,,
100 1St St E,Vernon Center,MN,56090,Blueearth,2025-07-18 00:00:00,10:00AM,,https://www.xome.com/auctions/100-1st-St-E-Vernon-Center-MN-56090-401543112,Xome.com,"Liebo, Weingarden, Dobie & Barbee Pllp",952-925-6888
100 Belmont Ave,Meadow Lands,PA,15347,Washington,2025-08-01 00:00:00,10:00AM,,https://www.xome.com/auctions/100-Belmont-Ave-Meadow-Lands-PA-15347-407759232,Xome.com,"Brock And Scott, PLLC",317-537-3001
100 High Meadow Cir,Petal,MS,39465, Forrest ,2025-07-18 00:00:00,11:00 am,25-03937MS,https://www.auction.com/details/100-high-meadow-cir-petal-ms-1780414,Auction.com,"Mccalla Raymer Leibert Pierce, LLC",(770) 643-7200
100 Lookout Ave,Charleroi,PA, 1502,Washington,07/11/2025,10:00 AM ET,2024-3715 (0),https://washington.pa.realforeclose.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=07/11/2025,Realforeclose.com,,
100 Old Palisade Rd 1516,Fort Lee,NJ,07024, Bergen ,2025-07-25 00:00:00,12:00 pm,22-200654,https://www.auction.com/details/100-old-palisade-rd-fort-lee-nj-1785668,Auction.com,"Mccabe, Weisberg And Conway, LLC",
100 Riverside Dr,Valley,AL,36854,Chambers,2025-07-24 00:00:00,11:00AM,,https://www.xome.com/auctions/100-Riverside-Dr-Valley-AL-36854-407648674,Xome.com,"Halliday, Watkins & Mann, P.C.",801-355-2886
100 S 13Th Ave,Paragould,AR,72450, Greene ,2025-07-31 00:00:00,12:00 pm,185642,https://www.auction.com/details/100-s-13th-ave-paragould-ar-1788667,Auction.com,Wilson And Associates PLLC,(501) 219-9388
100 Stonecliff Dr,Greece,NY,14616, Monroe ,2025-07-09 00:00:00,10:00 am,23-003757,https://www.auction.com/details/100-stonecliff-dr-greece-ny-1750249,Auction.com,"Gross Polowy, LLC",
100 Ventura Trl,Stockbridge,GA,30281, Henry ,2025-08-05 00:00:00,9:00 am,1017-7276A,https://www.auction.com/details/100-ventura-trl-stockbridge-ga-1788810,Auction.com,Aldridge Pite LLP,(877) 319-8840
100 Wetherburn Ln,Williamsburg,VA,23188,James City,2025-08-07 00:00:00, 3:45 PM ,20-286851,https://www.hubzu.com/property/87916976018-100-WETHERBURN-LN-Williamsburg-VA-23188,Hubzu.com,Logs Legal Group LLP,703-449-5800
100 Wilson Pl,Village Of Freeport,NY,11520, Nassau ,2025-07-15 00:00:00,2:00 pm,19-356846,https://www.auction.com/details/100-wilson-pl-freeport-ny-1756165,Auction.com,"Robertson, Anschutz, Schneid, Crane & Partners, PLLC",(516) 280-7675
1000 Belvedere Cir E,Mobile,AL,36606,Mobile,2025-08-06 00:00:00,11:00AM,,https://www.xome.com/auctions/1000-Belvedere-Cir-E-Mobile-AL-36606-407362238,Xome.com,"Tiffany & Bosco, P.A.",205-930-5200
1000 Cowpath Rd,Hatfield,PA,19440, Montgomery ,2025-07-30 00:00:00,,20-11278-FC01,https://www.auction.com/details/1000-cowpath-rd-hatfield-pa-1722239,Auction.com,Brock & Scott PLLC,(844) 856-6646
1000 Johnson Dr,Benbrook,TX,76126, Tarrant ,2025-08-05 00:00:00,9:00 am,2024-01581-TX,https://www.auction.com/details/1000-johnson-st-benbrook-tx-1790283,Auction.com,"Power Default Services, Inc.",(855) 427-2204
1000 Parkview Dr,Hallandale Beach,FL, 3300,Broward,07/09/2025,10:00 AM ET,CACE-22-013310,https://broward.realforeclose.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=07/09/2025,Realforeclose.com,,
1000 S Ocean Blvd,Pompano Beach,FL, 3306,Broward,07/15/2025,10:00 AM ET,CACE-24-017958,https://broward.realforeclose.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=07/15/2025,Realforeclose.com,,
1000 Sw 16Th St,Boynton Beach,PA,  334,Palmbeach,07/15/2025,10:00 AM ET,502023CA016207XXXAMB,https://palmbeach.realforeclose.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=07/15/2025,Realforeclose.com,,
10000 Chantilly Rd Nw,Albuquerque,NM,87114, Bernalillo ,2025-08-07 00:00:00,,,https://www.auction.com/details/10000-chantilly-rd-nw-albuquerque-nm-1794649,Auction.com,"Rose Ramirez & Associates, P.C.",(505) 833-3036
10009 Paxton Rd,Randallstown,MD,21133, Baltimore ,2025-07-17 00:00:00,,,https://www.auction.com/details/10009-paxton-rd-randallstown-md-1777998,Auction.com,"Mccabe, Weisberg And Conway, LLC",(301) 490-3361
1001 Carlton St,Clearwater,FL,  337,Pinellas,07/16/2025,10:00 AM ET,522022CA005400XXCICI,https://pinellas.realforeclose.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=07/16/2025,Realforeclose.com,,
1001 Ctney St Nw,Grand Rapids,MI,49504, Kent ,2025-07-16 00:00:00,,,https://www.auction.com/details/1001-courtney-st-nw-grand-rapids-mi-1776542,Auction.com,"Trott And Trott, P.C.",(248) 642-2515
1001 S Lakeshore Dr,Louisa,VA,23093,Louisa,2025-07-30 00:00:00,10:00AM,,https://www.xome.com/auctions/1001-S-Lakeshore-Dr-Louisa-VA-23093-406917781,Xome.com,"Samuel I. White, P.C.",757-490-9284
10015 Johnson Rd S,Mobile,AL,36695, Mobile ,2025-07-24 00:00:00,11:00 am,AL23428,https://www.auction.com/details/10015-johnson-rd-s-mobile-al-1776314,Auction.com,"Halliday, Watkins And Mann, P.C",(205) 970-2233
10019 Victoria Chase Ln,Houston,TX,77075,Harris,2025-08-05 00:00:00, 10:00 AM ,25-00046-673,https://www.hubzu.com/property/91717285507-10019-VICTORIA-CHASE-LN-Houston-TX-77075,Hubzu.com,"Power Default Services, Inc.",866-960-8299
1002 Eagle Dr,Sultan,WA,98294, Snohomish ,2025-07-11 00:00:00,9:00 am,25-72261,https://www.auction.com/details/1002-eagle-dr-sultan-wa-1700806,Auction.com,"North Star Trustee, LLC",(206) 866-5345
1002 N St,Mazon,IL,60444, Grundy ,2025-08-06 00:00:00,,2024FC77,https://www.auction.com/details/1002-north-st-mazon-il-1743473,Auction.com,"Mccalla Raymer Leibert Pierce, LLC",(312) 346-9088
1002 Richards Dr,Linwood,NJ,08221, Atlantic ,2025-07-24 00:00:00,12:00 pm,,https://www.auction.com/details/1002-richards-dr-linwood-nj-1767668,Auction.com,Greenspoon Marder Pa,
1002 S 9Th St,Blackwell,OK,74631, Kay ,2025-07-22 00:00:00,,206733-01,https://www.auction.com/details/1002-s-9th-st-blackwell-ok-1781079,Auction.com,"Baer & Timberlake, P.C.",(405) 842-7722
10021 Mulberry Ave,Oak Lawn,IL,60453, Cook ,2025-08-06 00:00:00,12:00 pm,2022CH07335,https://www.auction.com/details/10021-mulberry-ave-oak-lawn-il-1761831,Auction.com,"Mccalla Raymer Leibert Pierce, LLC",(312) 346-9088
10021 Variel Ave,Los Angeles,CA,91311, Los Angeles ,2025-07-24 00:00:00,9:00 am,24-71205,https://www.auction.com/details/10021-variel-ave-chatsworth-ca-1772965,Auction.com,"Zbs Law, LLP",(714) 848-7920
10022 Linenhall Ln,Sugar Land,TX,77478, Fort Bend ,2025-08-05 00:00:00,9:00 am,2024-01277-TX,https://www.auction.com/details/10022-linenhall-dr-sugar-land-tx-1784355,Auction.com,"Power Default Services, Inc.",(855) 427-2204
10024 Cougar Trl,Fort Worth,TX,76108, Tarrant ,2025-08-05 00:00:00,9:00 am,2020-01316-TX,https://www.auction.com/details/10024-cougar-trl-fort-worth-tx-1790328,Auction.com,"Power Default Services, Inc.",(855) 427-2204
1003 Masonic St,Belding,MI,48809, Ionia ,2025-07-17 00:00:00,,25-001708-1,https://www.auction.com/details/1003-masonic-st-belding-mi-1776670,Auction.com,Schneiderman & Sherman PC - Best Homes Title,(248) 539-7400
1003 Oakwood Ave,Danville,IL,61832, Vermilion ,2025-07-31 00:00:00,,24 FC 78,https://www.auction.com/details/1003-oakwood-ave-danville-il-1768043,Auction.com,Logs Legal Group LLP,(847) 291-1717
1003 Sunnybrook,Mcalester,OK,74501, Pittsburg ,2025-07-24 00:00:00,,CJ-2024-308,https://www.auction.com/details/1003-sunnybrook-mcalester-ok-1777925,Auction.com,"Lamun Mock Cunnyngham And David, P.C.",
1003 Wishart Ave,De Pere,WI,54115, Brown ,2025-07-23 00:00:00,,24-CV-1468,https://www.auction.com/details/1003-wishart-ave-de-pere-wi-1767458,Auction.com,"Weld Riley, S.C.",(715) 839-7786
10032 Ne 19Th St,Vancouver,WA,98664, Clark ,2025-08-01 00:00:00,9:00 am,117937-WA,https://www.auction.com/details/10032-ne-19th-st-vancouver-wa-1703590,Auction.com,Aldridge Pite LLP,(858) 750-7777
1004 14Th Ave S,Birmingham,AL,35205,Jefferson,2025-07-18 00:00:00,11:00AM,,https://www.xome.com/auctions/1004-14th-Ave-S-Birmingham-AL-35205-407500404,Xome.com,"Tiffany & Bosco, P.A.",205-930-5200
1004 22Nd St E,Minneapolis,MN,55404, Hennepin ,2025-07-31 00:00:00,,25-003843 FC,https://www.auction.com/details/1004-e-22nd-st-minneapolis-mn-1768455,Auction.com,"Liebo, Weingarden, Dobie & Barbee Pllp",(952) 925-6888
1004 Coleman Dr,Mc Calla,AL,35111, Jefferson ,2025-07-30 00:00:00,11:00 am,25-06908AL,https://www.auction.com/details/1004-coleman-dr-mc-calla-al-1784471,Auction.com,"Mccalla Raymer Leibert Pierce, LLC",(770) 643-7200
1004 Market St,Berwick,PA,18603, Columbia ,2025-07-16 00:00:00,,,https://www.auction.com/details/1004-market-st-berwick-pa-1745909,Auction.com,"Stern And Eisenberg, PC",215-572-8111 Ext1060
1004 Pinewood Ave,Bessemer,AL,35023, Jefferson ,2025-07-30 00:00:00,11:00 am,24-09709-QQ-A...,https://www.auction.com/details/1004-pinewood-ave-bessemer-al-1791426,Auction.com,"Tiffany & Bosco, P.A.",(205) 930-5200
1005 Bay Laurel Cir,Warner Robins,GA,31088,Houston,2025-08-05 00:00:00,10:00AM,,https://www.xome.com/auctions/1005-Bay-Laurel-Cir-Warner-Robins-GA-31088-407662469,Xome.com,"Vylla Solutions, LLC",949-517-6400
1005 Lambourne Pl,Oak Park,CA,91377,Ventura,2025-07-10 00:00:00,11:00AM,,https://www.xome.com/auctions/1005-Lambourne-Place-Oak-Park-CA-91377-208620009,Xome.com,"Mccalla Raymer Leibert Pierce, LLC","301 E. Ocean Blvd., Suite 1720, Long Beach, CA 90802"
1005 N Green St,Mchenry,IL,60050,Mchenry,2025-07-24 00:00:00,10:00AM,,https://www.xome.com/auctions/1005-N-Green-St-Mchenry-IL-60050-405767485,Xome.com,Ras  Primary,470-321-7112
1005 W 129Th Pl,Chicago,IL,60643,Cook,2025-08-01 00:00:00,10:00AM,,https://www.xome.com/auctions/1005-W-129th-Pl-Chicago-IL-60643-395413793,Xome.com,Codilis Law Firms,630-794-5300
1006 Columbia St,Madera,CA,93638, Madera ,2025-07-23 00:00:00,9:00 am,2025-00218-CA,https://www.auction.com/details/1006-columbia-st-madera-ca-1771587,Auction.com,Western Progressive,(866) 960-8299
1006 E Boot Rd,West Chester,PA,19380, Chester ,2025-07-17 00:00:00,,22-101644,https://www.auction.com/details/1006-e-boot-rd-west-chester-pa-1764189,Auction.com,"Mccabe, Weisberg And Conway, LLC",
1006 Se 3Rd St,Walnut Ridge,AR,72476,Lawrence,2025-07-22 00:00:00,12:00PM,,https://www.xome.com/auctions/1006-Se-3rd-St-Walnut-Ridge-AR-72476-404894408,Xome.com,"Wilson & Associates, PLLC",501-219-9388
1006 Senate Ave,Jeffersonville,IN,47130,Clark,2025-07-15 00:00:00,10:00AM,,https://www.xome.com/auctions/1006-Senate-Ave-Jeffersonville-IN-47130-407130952,Xome.com,"Feiwell & Hannoy, P.C.",317-237-2727
1006 Virgina Ave,Altamonte Springs,FL,  327,Seminole,08/05/2025,11:00 AM ET,2024CA001483,https://seminole.realforeclose.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/05/2025,Realforeclose.com,,
10060 Cartagena Dr,Moreno Valley,CA,92557, Riverside ,2025-08-06 00:00:00,9:00 am,CA08000525-22,https://www.auction.com/details/10060-cartagena-dr-moreno-valley-ca-1742291,Auction.com,Trustee Corps,(949) 252-8300
1007 65Th Ave N,Brooklyn Center,MN,55430, Hennepin ,2025-07-25 00:00:00,,MN21255,https://www.auction.com/details/1007-65th-ave-n-brooklyn-center-mn-1790162,Auction.com,"Halliday, Watkins And Mann, P.C.",(801) 355-2886
1007 Mike Ave,Tahlequah,OK,74464, Cherokee ,2025-07-30 00:00:00,,,https://www.auction.com/details/1007-mike-ave-tahlequah-ok-1773451,Auction.com,"The Mortgage Law Firm, Plc",(619) 465-8200
1007 N Laramie Ave,Chicago,IL,60651, Cook ,2025-07-14 00:00:00,,,https://www.auction.com/details/1007-n-laramie-ave-chicago-il-1766501,Auction.com,"Johnson, Blumberg & Associates, LLC",(312) 541-9710
1007 Stout St,Pratt,KS,67124, Pratt ,2025-07-17 00:00:00,,,https://www.auction.com/details/1007-stout-st-pratt-ks-1778139,Auction.com,"Millsap And Singer, LLC",(636) 537-0110
1007 Walter St,Kalamazoo,MI,49001,Kalamazoo,2025-07-17 00:00:00,10:00AM,,https://www.xome.com/auctions/1007-Walter-St-Kalamazoo-MI-49001-407594908,Xome.com,"Johnson, Blumberg & Associates, LLC",312-541-9710
10078 Beckham St,Peyton,CO,80831, El Paso ,2025-07-23 00:00:00,,,https://www.auction.com/details/10078-beckham-st-peyton-co-1760933,Auction.com,"Halliday, Watkins And Mann, P.C.",
1008 Kettle Creek Rd,Eagan,MN,55123, Dakota ,2025-07-29 00:00:00,,056354-F1,https://www.auction.com/details/1008-kettle-creek-rd-eagan-mn-1774834,Auction.com,"Wilford, Geske And Cook, P.A.",(651) 209-3300
1008 Lawson St,Eden,NC,27288, Rockingham ,2025-07-23 00:00:00,9:00 am,,https://www.auction.com/details/1008-lawson-st-eden-nc-1783054,Auction.com,Albertelli Law,(704) 970-0391
1008 N Burtschi St,Vandalia,IL,62471, Fayette ,2025-07-15 00:00:00,,2024FC1,https://www.auction.com/details/1008-n-burtschi-st-vandalia-il-1740134,Auction.com,"Diaz Anselmo & Associates, LLC",(630) 453-6960
1008 Sassafras St,Millville,NJ,08332, Cumberland ,2025-07-16 00:00:00,2:00 pm,,https://www.auction.com/details/1008-sassafras-st-millville-nj-1759760,Auction.com,"Hill Wallack, LLP",
1009 Carolina St,Vallejo,CA,94590, Solano ,2025-08-06 00:00:00,9:00 am,2024-11137-GS...,https://www.auction.com/details/1009-carolina-st-vallejo-ca-1767289,Auction.com,"Nestor Solutions, LLC",(888) 403-4115
1009 E 25Th St,Los Angeles,CA,90011, Los Angeles ,2025-07-24 00:00:00,9:00 am,24-08187CA,https://www.auction.com/details/1009-e-25th-st-los-angeles-ca-1721293,Auction.com,Mccalla Raymer Leibert Pierce,(770) 643-7200
1009 Orlando Dr,Forked River,NJ,08731, Ocean ,2025-07-22 00:00:00,2:00 pm,24-237402,https://www.auction.com/details/1009-orlando-dr-forked-river-nj-1784602,Auction.com,"Ras Citron, LLC - Nj",
1009 W Plum St,Centralia,WA,98531,Lewis,2025-07-18 00:00:00,10:00AM,,https://www.xome.com/auctions/1009-W-Plum-St-Centralia-WA-98531-402267797,Xome.com,Logs Legal Group LLP,602-222-5711
10098 42Nd Dr S  124,Boynton Beach,PA,  334,Palmbeach,07/21/2025,10:00 AM ET,502024CA011538XXXAMB,https://palmbeach.realforeclose.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=07/21/2025,Realforeclose.com,,
10099 Sw 26 St,Miami,FL,  331,Miamidade,07/28/2025,09:00 AM ET,2023-015585-CA-01,https://miamidade.realforeclose.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=07/28/2025,Realforeclose.com,,
101 E Broyles St,Greeneville,TN,37745,Greene,2025-07-31 00:00:00,11:00AM,,https://www.xome.com/auctions/101-E-Broyles-St-Greeneville-TN-37745-406478058,Xome.com,"Vylla Solutions, LLC",949-517-6400
101 High St,West Manchester ,OH, 4538,Preble,07/11/2025,09:00 AM ET,17CV031020 (0),https://preble.sheriffsaleauction.ohio.gov/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=07/11/2025,Realforeclose.com,,
101 Highland Ave,Sterling,CO,80751,Logan,2025-07-09 00:00:00, 10:00 AM ,25-033859,https://www.hubzu.com/property/91717242327-101-HIGHLAND-AVE-Sterling-CO-80751,Hubzu.com,Janeway Law Firm,303-706-9990
101 Kains Ct,Marlton,NJ,08053, Burlington ,2025-07-10 00:00:00,12:00 pm,,https://www.auction.com/details/101-kains-ct-marlton-nj-1774095,Auction.com,"Pincus Law Group, PLLC",(516) 699-8902
101 Kelly St,West Monroe,LA,71291, Ouachita ,2025-07-16 00:00:00,,20243487 CV3,https://www.auction.com/details/101-kelly-st-west-monroe-la-1775984,Auction.com,"Dean Morris, L.L.C.",(318) 338-1440
101 Lawson Rd,Daphne,AL,36526, Baldwin ,2025-07-24 00:00:00,1:00 pm,18-016520-FC0...,https://www.auction.com/details/101-lawson-rd-daphne-al-1743422,Auction.com,Logs Legal Group LLP,(405) 848-1819
101 Lynx Ct,Mullica Hill,NJ,08062, Gloucester ,2025-07-23 00:00:00,2:00 pm,18-201141,https://www.auction.com/details/101-lynx-ct-mullica-hill-nj-1700766,Auction.com,"Ras Citron, LLC - Nj",
101 Mcallister St,Hanover,PA, 1733,York,08/04/2025,02:00 PM ET,2016-SU-002296-06 (0),https://york.pa.realforeclose.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/04/2025,Realforeclose.com,,
101 Mews Ln,Cherry Hill,NJ,08003, Camden ,2025-08-06 00:00:00,12:00 pm,118.846100,https://www.auction.com/details/101-mews-ln-cherry-hill-nj-1772286,Auction.com,"Stern And Eisenberg, PC",(609) 397-9200
101 N Tejon St  425,Colorado Springs,PA,  809,Elpasoco,07/09/2025,10:00 AM MT,EPC202500044,https://elpasoco.realforeclose.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=07/09/2025,Realforeclose.com,,
101 Osprey Ln Aka 101 Osprey Way,Coatesville,PA,19320, Chester ,2025-07-17 00:00:00,,,https://www.auction.com/details/101-osprey-way-coatesville-pa-1778638,Auction.com,"Stern And Eisenberg, PC",215-572-8111 Ext1060
101 Rdg Rd Apt 5,Naugatuck,CT,06770,Newhaven,2025-07-19 00:00:00,12:00PM,,https://www.xome.com/auctions/101-Ridge-Rd-Apt-5-Naugatuck-CT-6770-406884860,Xome.com,"Brock And Scott, PLLC",
101 Rockwell Rd,Columbus ,OH, 4320,Franklin,07/18/2025,09:00 AM ET,23CV8161 (13026),https://franklin.sheriffsaleauction.ohio.gov/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=07/18/2025,Realforeclose.com,,
101 Tensley Rd,Sweet Water,AL,36782, Marengo ,2025-07-22 00:00:00,11:00 am,AL23282,https://www.auction.com/details/101-tensley-rd-sweet-water-al-1756526,Auction.com,"Halliday, Watkins And Mann, P.C",(205) 970-2233
101 W 3Rd St,Villisca,IA,50864, Montgomery ,2025-07-09 00:00:00,,,https://www.auction.com/details/101-w-3rd-st-villisca-ia-1769516,Auction.com,Dentons Davis Brown PC,
101 Wessex Rd,Lynchburg,VA,24501, Lynchburg City ,2025-07-14 00:00:00,9:30 am,VA-374556,https://www.auction.com/details/101-wessex-rd-lynchburg-va-1749434,Auction.com,"Bww Law Group, LLC",
10100 Coldwater Creek Rd,Fredericktown,MO,63645, Ste. Genevieve ,2025-07-10 00:00:00,10:40 am,215915.071025...,https://www.auction.com/details/10100-coldwater-creek-rd-fredericktown-mo-1770867,Auction.com,"Millsap And Singer, LLC",(636) 537-0110
10105 Charissglen Ln,Highlands Ranch,CO,80126, Douglas ,2025-07-09 00:00:00,,CO-20-885106-...,https://www.auction.com/details/10105-charissglen-ln-highlands-ranch-co-1789698,Auction.com,"Mccarthy & Holthus, LLP",
10106 S Inglewood Ave,Inglewood Area,CA,90304, Los Angeles ,2025-07-24 00:00:00,9:00 am,21-5591,https://www.auction.com/details/10106-s-inglewood-ave-inglewood-ca-1774590,Auction.com,Ghidotti Berger LLP,(949) 427-2010
